stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
ft_dense,0,1,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.7349880612767136,0.04175051710135545,0.2766871165644172,0.04970514971277515,0.008471214
ft_dense,0,2,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8498993566874472,0.10117354591828129,0.4294478527607362,0.04973692237303645,0.024065632
ft_dense,0,3,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8686757669803232,0.11716106519147415,0.4766871165644172,0.04976869503329775,0.037615936
ft_dense,0,4,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8743200709181371,0.12558741905535475,0.49877300613496933,0.04989578567434294,0.05214433
ft_dense,0,5,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8779800006892522,0.13726876566779392,0.5085889570552147,0.04962254079609577,0.068842165
ft_dense,0,6,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8814871643910425,0.14283571741852913,0.5134969325153375,0.04966066798840933,0.055696655
ft_dense,0,7,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8845191494408168,0.14914701236735056,0.5257668711656441,0.04981953128971583,0.060285788
ft_dense,0,8,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8851293521527284,0.14942337261447952,0.5288343558282208,0.049902140206395204,0.05285781
ft_dense,1,1,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.7610065231805532,0.04010999124188375,0.2650306748466258,0.04989578567434294,0.0081489645
ft_dense,1,2,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8313038030042045,0.08461965185669335,0.39447852760736196,0.04995297646281328,0.020404208
ft_dense,1,3,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.862747735135619,0.1127558903955539,0.46932515337423314,0.049851303949977124,0.03224269
ft_dense,1,4,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.875447815179332,0.1254938050083477,0.49877300613496933,0.04976869503329775,0.03223965
ft_dense,1,5,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8800839726070548,0.13031314220747148,0.505521472392638,0.049590768135834476,0.025563616
ft_dense,1,6,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8822180076990419,0.13336869283796726,0.5085889570552147,0.0499339128666565,0.04480382
ft_dense,1,7,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8838836104689004,0.13542090801695222,0.5141104294478528,0.04994662193076102,0.044906974
ft_dense,1,8,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8848171458061804,0.1413094444761312,0.5171779141104295,0.049628895328148036,0.036728498
ft_dense,2,1,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.5851756018404596,0.013356950921992742,0.0736196319018405,0.049056987443444666,0.008941558
ft_dense,2,2,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.7204805768854715,0.027409117811863323,0.18711656441717792,0.04972421330893193,0.011428586
ft_dense,2,3,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8045535504602864,0.05883499803035695,0.3374233128834356,0.04975598596919323,0.029096367
ft_dense,2,4,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8503541072732337,0.09975572032057578,0.4447852760736196,0.04955899547557318,0.034287196
ft_dense,2,5,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8636735183336436,0.11123256831339756,0.4705521472392638,0.04997839459102232,0.046884596
ft_dense,2,6,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8698715456685794,0.11888916282948322,0.48098159509202454,0.04989578567434294,0.06127277
