stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
ft_dense,0,8,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8851293521527284,0.14942337261447952,0.5288343558282208,0.049902140206395204,0.05285781
ft_dense,1,8,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8848171458061804,0.1413094444761312,0.5171779141104295,0.049628895328148036,0.036728498
ft_dense,2,8,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8764240759730699,0.13130608367874186,0.496319018404908,0.04967337705251385,0.04713458
ft_dense,3,8,32,6,8,192,0.3314950036607718,0.0006821416720689545,8192,0.8856274519527205,0.15010770564518292,0.5263803680981595,0.049876722078186164,0.05890654
ft_dense,4,5,32,2,4,128,0.04634762381005189,0.0021888937469133466,1024,0.8866786981739179,0.15237283321975978,0.5294478527607362,0.04980682222561131,0.048992157
ft_dense,5,8,64,4,8,192,0.20909313175279765,0.0008029015070298228,8192,0.8878651614300643,0.14818498791615764,0.5245398773006135,0.04997839459102232,0.039305564
ft_dense,6,5,48,4,4,256,0.3232481518257668,0.0012898078364194318,8192,0.8852313151027656,0.15182667971883038,0.5282208588957055,0.049864013014081644,0.059479054
ft_dense,7,6,48,2,8,128,0.16696440125951162,0.0005002983438043643,4096,0.8880164324300386,0.1502054557642519,0.5312883435582823,0.049876722078186164,0.040549655
ft_dense,8,5,64,6,8,256,0.2010716092915446,0.00033775361497450577,2048,0.8858769608994338,0.14872287780251892,0.5196319018404908,0.04960983173199126,0.034539897
ft_dense,9,6,32,5,8,192,0.03611590802176332,0.002053164517837489,8192,0.8880486378222372,0.15255320210469825,0.5374233128834356,0.04980682222561131,0.038179446
ft_dense,10,5,16,5,8,64,0.005852866268886089,0.0014429425636699395,1024,0.8866691390864382,0.14993007230508942,0.5282208588957055,0.04975598596919323,0.027475558
ft_dense,11,2,48,3,8,128,0.09242667908125105,0.000498821110099267,4096,0.8761273797527611,0.12573385604314327,0.4920245398773006,0.04978140409740227,0.04851835
ft_dense,12,7,48,3,8,128,0.12396061227163985,0.0010694180125702924,4096,0.8887351923809239,0.1579587963787092,0.5325153374233129,0.04997839459102232,0.05022099
ft_dense,13,8,32,4,8,192,0.10941046221779044,0.0029453370506861976,4096,0.888452238323489,0.15455429180391678,0.5361963190184049,0.04988307661023842,0.033033535
ft_dense,14,4,32,5,8,192,0.0771827738181492,0.0029740047295392794,2048,0.8868232150470329,0.1486924057310342,0.5245398773006135,0.04985765848202938,0.03467225
ft_dense,15,4,32,4,8,192,0.0020314443534049653,0.002996332963554222,4096,0.8872953392353291,0.14786526416362672,0.5312883435582823,0.04988307661023842,0.045455553
ft_dense,16,5,32,5,8,192,0.1311451794076324,0.001987414729465568,4096,0.8884859680236828,0.14724867698631627,0.5276073619631901,0.049425550302475724,0.044796426
ft_dense,17,3,32,3,8,192,0.05843423897077791,0.0015759944575332821,1024,0.8873952593787434,0.15134079332627762,0.5208588957055215,0.04995297646281328,0.040746547
ft_dense,18,5,32,6,4,192,0.1516273439073609,0.002394452497297408,2048,0.8874809286068713,0.15499507934776793,0.5349693251533743,0.04973692237303645,0.049127545
ft_dense,19,3,16,5,8,256,0.10266355808762975,0.0017750783201751507,4096,0.8801863585428146,0.1338125638204134,0.5079754601226993,0.049864013014081644,0.024136705
ft_dense,20,2,32,4,8,64,0.04052879228400698,0.001130536304441767,8192,0.8554204314345212,0.10149689592453887,0.449079754601227,0.04976234050124549,0.034566574
ft_dense,21,4,32,6,4,192,0.16162871467236248,0.002373665521566972,2048,0.8866706088156306,0.1506868012303027,0.5245398773006135,0.04998474912307458,0.046803266
ft_dense,22,5,32,6,4,192,0.14655365111901159,0.0025044790483762383,2048,0.8849773677298306,0.14967333191256457,0.5276073619631901,0.04988307661023842,0.034293238
ft_dense,23,2,32,6,4,192,0.11189147554469367,0.0026238369278453054,2048,0.8845172937615181,0.14103924967937326,0.5202453987730061,0.04969879518072289,0.028803028
ft_dense,24,5,32,5,4,192,0.17070612213663142,0.001753694558473719,2048,0.8876219738782731,0.15361374992013901,0.5263803680981595,0.04958441360378222,0.046499256
ft_dense,25,4,32,4,4,192,0.07848424741556498,0.0029946157649441314,2048,0.8868487910639218,0.14646033182199047,0.5411042944785276,0.04998474912307458,0.0322333
