stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
ft_dense,0,8,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.8729008544077685,0.12647875882330506,0.501840490797546,0.04997204005897006,0.055449396
ft_dense,1,6,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.8663602515209553,0.1131712548340149,0.4852760736196319,0.04969879518072289,0.035653763
ft_dense,2,8,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8551068352777422,0.10437428923823011,0.4521472392638037,0.049902140206395204,0.041760474
ft_dense,3,8,32,6,8,192,0.3314950036607718,0.0006821416720689545,8192,0.8692116489566248,0.12035297081171671,0.4901840490797546,0.04974963143714097,0.065898
ft_dense,4,5,32,2,4,128,0.04634762381005189,0.0021888937469133466,1024,0.8735006910456145,0.12665498574186385,0.48895705521472393,0.04995297646281328,0.03208386
ft_dense,5,8,64,4,8,192,0.20909313175279765,0.0008029015070298228,8192,0.8705597219974095,0.12255191114108699,0.49263803680981594,0.04988307661023842,0.044839296
ft_dense,6,7,48,4,4,256,0.3232481518257668,0.0012898078364194318,8192,0.8724704323233758,0.12645988471421982,0.49693251533742333,0.04950180468710284,0.05051384
ft_dense,7,8,48,2,8,128,0.16696440125951162,0.0005002983438043643,4096,0.870711671333934,0.12179401114707528,0.48466257668711654,0.04989578567434294,0.023230622
ft_dense,8,3,64,6,8,256,0.2010716092915446,0.00033775361497450577,2048,0.8685190361508159,0.11290943252625296,0.4815950920245399,0.04933658685374409,0.027383128
ft_dense,9,2,32,5,8,192,0.03611590802176332,0.002053164517837489,8192,0.8439131535850632,0.0862918764423009,0.4251533742331288,0.04989578567434294,0.06708121
ft_dense,10,8,16,3,4,64,0.3935579235793553,0.0014420517056895911,1024,0.87420272259341,0.12547711179490392,0.48957055214723927,0.0499656855269178,0.057500176
ft_dense,11,5,48,3,4,256,0.37832388798948535,0.0012357247994060705,4096,0.8699364164743154,0.11801806757168176,0.47975460122699387,0.04994662193076102,0.039373692
ft_dense,12,5,48,4,4,64,0.3143849557306558,0.002689792011534119,2048,0.8735574140157742,0.12235765659838954,0.4865030674846626,0.0499656855269178,0.037261505
ft_dense,13,2,32,3,4,256,0.3168715970415307,0.001346010901061256,8192,0.8327208694995872,0.08281957349172991,0.4012269938650307,0.049616186264043516,0.04326364
ft_dense,14,2,48,5,4,64,0.14506658517346535,0.0017746789281168106,8192,0.8465178353391825,0.09337224285457572,0.42822085889570555,0.04994026739870876,0.036969524
ft_dense,15,2,32,3,4,256,0.35184557069060496,0.002980868383966006,8192,0.8598502731902995,0.09312390492918404,0.4386503067484663,0.049889431142290684,0.07893372
ft_dense,16,6,48,4,4,64,0.27592207489647536,0.0010166719147127548,4096,0.8717716033817651,0.1262577490359481,0.49141104294478527,0.04988307661023842,0.052352995
ft_dense,17,3,16,2,4,256,0.3909065862380312,0.001684773940070738,1024,0.8687538478056046,0.12409892237263007,0.48588957055214727,0.04984494941792486,0.10375089
ft_dense,18,5,32,5,4,64,0.1238803118866865,0.0010443158071612667,2048,0.870991196673001,0.11916128940321045,0.4865030674846626,0.04990849473844746,0.049494967
ft_dense,19,7,48,3,4,256,0.2758697700847069,0.0023596905246648873,8192,0.8722560994151336,0.127743830354423,0.48957055214723927,0.049800467693559045,0.038184315
ft_dense,20,7,32,4,4,64,0.3593980458961217,0.001672206771156207,8192,0.8709691156487407,0.12313888074019,0.49263803680981594,0.049813176757663565,0.040079955
ft_dense,21,3,64,4,8,192,0.08788667350155174,0.0008056550915337873,8192,0.863461883177659,0.1072216058788601,0.4742331288343558,0.04994026739870876,0.04733858
ft_dense,22,8,64,4,8,192,0.19181570500802386,0.0008245808028507677,8192,0.8724725102163722,0.12021099058349033,0.48957055214723927,0.04997204005897006,0.03169774
ft_dense,23,3,64,5,8,192,0.22694595326209077,0.0012097222692821117,8192,0.8614241679773377,0.10904304814286638,0.4705521472392638,0.04981953128971583,0.05631947
ft_dense,24,2,64,3,8,64,0.2945172351954433,0.00048561775725511466,8192,0.8137469131788472,0.07056919908282386,0.3674846625766871,0.049838594885872604,0.0232027
ft_dense,25,3,64,4,4,192,0.34879218852023375,0.0008428367459110128,8192,0.8642874830844696,0.11036633495517678,0.4785276073619632,0.049889431142290684,0.056232754
ft_dense,26,3,48,6,8,256,0.23299752175585844,0.001086453445750181,4096,0.8691850261962659,0.11555330405186591,0.47300613496932514,0.04969244064867063,0.04458952
ft_dense,27,7,16,2,4,128,0.30117472335551565,0.001887270915500038,1024,0.8733661367532725,0.12614358487550853,0.4938650306748466,0.04983224035382035,0.08748573
ft_dense,28,5,16,2,4,128,0.3017511018096213,0.0018303942079732182,1024,0.8725764964806029,0.12704082375324824,0.4883435582822086,0.04981953128971583,0.05411617
ft_dense,29,5,16,2,4,128,0.3705595383452232,0.0014332845193111528,1024,0.8706356820463497,0.12636727842160966,0.5012269938650307,0.04999745818717909,0.0679756
ft_dense,30,7,16,2,4,128,0.36334683953310903,0.0015157878939687907,1024,0.8743268737760703,0.12775341599383985,0.48957055214723927,0.04999745818717909,0.07155059
ft_dense,31,4,16,2,4,128,0.3472394772122599,0.0024366045301800086,1024,0.8731595481873132,0.12806795772615404,0.49141104294478527,0.04991484927049972,0.053430434
ft_dense,32,6,16,2,4,128,0.3972153140736048,0.0019892828799133798,1024,0.8740609424574122,0.12722554883899098,0.498159509202454,0.049864013014081644,0.05289873
ft_dense,33,8,16,2,4,128,0.37861677969777974,0.0015063103850401674,1024,0.8740839805599662,0.12526134799774077,0.498159509202454,0.0499656855269178,0.11926291
ft_dense,34,4,16,2,4,128,0.39666093258259333,0.0015569979123907453,1024,0.8720388933227667,0.12094328210597834,0.4901840490797546,0.04997204005897006,0.027336005
ft_dense,35,2,16,2,4,128,0.3723924191513314,0.0019935702079251203,1024,0.8717773965318445,0.11673247243920039,0.4883435582822086,0.04997839459102232,0.030590385
ft_dense,36,4,16,2,4,128,0.2569852806077342,0.0021961666331447686,1024,0.8704571196956811,0.128876740738129,0.4901840490797546,0.04995933099486554,0.036336616
ft_dense,37,8,16,3,4,128,0.32710983738344096,0.0025495891782411255,1024,0.8748759677211604,0.1292270989963608,0.49754601226993866,0.04997839459102232,0.053862628
ft_dense,38,1,16,2,4,128,0.009355014386814464,0.002877269795439889,1024,0.8666618286456379,0.11323398212744988,0.47607361963190187,0.049902140206395204,0.037135266
ft_dense,39,2,16,2,4,128,0.34043819302566536,0.002212155129498664,1024,0.8672259337107691,0.12103953509447313,0.4852760736196319,0.04997204005897006,0.051293213
ft_dense,40,5,32,3,4,128,0.39981984940666626,0.001393598699297166,2048,0.8722964857800386,0.1234003858874789,0.4901840490797546,0.04995297646281328,0.038176347
ft_dense,41,2,16,3,4,128,0.3728984059205477,0.002492114353812216,1024,0.8661838762208888,0.11527108020274546,0.4742331288343558,0.04999745818717909,0.030632673
ft_dense,42,7,16,2,4,128,0.32427166704713467,0.002036754475219161,1024,0.8740838967425187,0.1282834034363795,0.49693251533742333,0.04995297646281328,0.027972648
ft_dense,43,2,16,3,4,128,0.3767635539796542,0.0026896127363506632,1024,0.8679306025842907,0.1170799702714346,0.47484662576687114,0.04973056784098419,0.05840029
ft_dense,44,2,16,2,4,128,0.33364014069967546,0.001609524449614172,1024,0.8679939081479291,0.11811667368742595,0.4736196319018405,0.04988307661023842,0.06896073
ft_dense,45,2,16,3,4,128,0.37876326125030246,0.0011991302703167816,1024,0.8656275291427418,0.11228364787374376,0.4656441717791411,0.04974327690508871,0.052894805
ft_dense,46,3,32,2,4,128,0.36257536384536126,0.001889353144255562,1024,0.8699245923665151,0.1187526497579641,0.4822085889570552,0.04999745818717909,0.046274558
ft_dense,47,2,16,3,4,64,0.3382286304921379,0.0006479399271531755,4096,0.7711404911406128,0.047776212944288875,0.2920245398773006,0.04995933099486554,0.01733364
ft_dense,48,2,32,2,4,128,0.3857037762458835,0.0022869554993250217,2048,0.8704538742061513,0.12049273283042906,0.47607361963190187,0.049565350007625436,0.075815104
ft_dense,49,2,16,2,4,64,0.31089937674946116,0.0026075109615620994,1024,0.8671062384975173,0.11503604480520392,0.47484662576687114,0.04984494941792486,0.09426251
ft_dense,50,2,16,3,4,128,0.39793500390897824,0.0014520741076144786,1024,0.8658687011773116,0.1156757082683193,0.4723926380368098,0.04974327690508871,0.052264586
ft_dense,51,2,48,2,4,256,0.3243596079435501,0.0012565627823430052,8192,0.8441674693649179,0.08960706278346747,0.4343558282208589,0.04994026739870876,0.04989631
ft_dense,52,2,48,2,4,256,0.3639985820568935,0.0003064816185454303,8192,0.7938905482144467,0.047986135683079405,0.3030674846625767,0.04995933099486554,0.009930894
ft_dense,53,2,48,3,4,256,0.2765422302038641,0.0009176807499617384,4096,0.863591221295838,0.1078782463218036,0.4638036809815951,0.04995297646281328,0.05591673
ft_dense,54,2,32,5,4,64,0.25592513485508417,0.0013212158874316231,2048,0.8640004590077324,0.11349813611788093,0.47116564417177914,0.04998474912307458,0.052092306
ft_dense,55,2,48,3,4,256,0.35185533101398814,0.0017216181982134444,8192,0.8579094256189158,0.10452059696635793,0.454601226993865,0.0499656855269178,0.059110537
ft_dense,56,1,32,4,4,64,0.38414158314523134,0.002119958981378368,1024,0.8661605106455175,0.11496700625622036,0.47975460122699387,0.04975598596919323,0.016708393
ft_dense,57,2,16,2,8,128,0.33046691354374186,0.001117683371671404,8192,0.7400897018219652,0.03641112774747442,0.24539877300613497,0.04969879518072289,0.011094111
ft_dense,58,2,16,3,4,192,0.28557781258620796,0.0009408222437892665,1024,0.8653940897549972,0.11699394137176022,0.4705521472392638,0.04994662193076102,0.055328846
ft_dense,59,2,48,2,4,256,0.31342492577096664,0.0016994145078350772,8192,0.853969958813276,0.10139124451871508,0.44969325153374234,0.049902140206395204,0.04527338
ft_dense,60,2,32,6,8,128,0.35807453221760494,0.0018805648811305027,4096,0.8620501108261578,0.10591557759926437,0.46503067484662575,0.04994026739870876,0.078735314
ft_dense,61,2,16,2,4,128,0.3279045402671412,0.00198607023294711,1024,0.8619771311697049,0.10809728589426135,0.4699386503067485,0.0499656855269178,0.06680571
ft_dense,62,2,16,2,4,128,0.38610519362541007,0.0014945320628595906,1024,0.8680430914463164,0.12029062447294428,0.4742331288343558,0.04983224035382035,0.048810516
ft_dense,63,5,16,2,4,128,0.3449671128890942,0.0020517670059440147,1024,0.8735425822260854,0.12809166201396294,0.496319018404908,0.04979411316150679,0.061232604
ft_dense,64,1,16,2,4,128,0.11675702911503491,0.00284600079193546,1024,0.865125027952144,0.10644390973628517,0.4742331288343558,0.04989578567434294,0.07292398
ft_dense,65,3,16,4,4,64,0.21659209184257583,0.002367169725859757,1024,0.8705852941158125,0.12675906773919332,0.49263803680981594,0.04971150424482741,0.050174616
ft_dense,66,2,64,2,4,128,0.17379498342864924,0.0015928709897349554,8192,0.8555389005739508,0.10471842502226726,0.4503067484662577,0.04995297646281328,0.0430913
ft_dense,67,2,16,5,4,128,0.3691543568461208,0.0004674893192807417,1024,0.8571469577931201,0.10399039473224167,0.4411042944785276,0.0499339128666565,0.05572914
ft_dense,68,2,48,2,4,192,0.3203721023058179,0.0013340149810398372,8192,0.8439339442104833,0.09449123870592216,0.4411042944785276,0.04991484927049972,0.022204584
ft_dense,69,3,16,4,4,256,0.29519198842176086,0.0017656611592154529,1024,0.8721442128691828,0.12218717195105108,0.48773006134969327,0.04999110365512684,0.056864053
ft_dense,70,4,32,2,8,128,0.24721628515538396,0.001148493633815694,1024,0.8724853674229418,0.1262451987540836,0.49079754601226994,0.04999745818717909,0.060120523
ft_dense,71,2,16,2,4,128,0.34979498711175855,0.0020518982408594083,1024,0.8680951888629302,0.11857812580683486,0.4822085889570552,0.04995933099486554,0.031867757
ft_dense,72,2,16,2,4,128,0.3454122874620482,0.0021574851720189397,1024,0.8683239325243819,0.11376140602364664,0.47730061349693254,0.04972421330893193,0.09416985
ft_dense,73,3,16,2,4,128,0.3879321939961279,0.0019851823171483955,1024,0.87183836300393,0.12495080477327898,0.48895705521472393,0.049578059071729956,0.062934384
ft_dense,74,2,16,2,4,128,0.36929200275589097,0.002605310974711336,1024,0.8681616911850243,0.11864341344657295,0.4754601226993865,0.049864013014081644,0.0864641
ft_dense,75,2,16,2,4,128,0.3566694531344056,0.0023519789633122826,2048,0.8668719083057398,0.11189274367410128,0.4644171779141104,0.04995933099486554,0.079857655
ft_dense,76,2,16,2,4,64,0.3091784031369953,0.0018223516589367928,1024,0.8659478774771369,0.11899361028725412,0.47791411042944787,0.04999745818717909,0.08486178
ft_dense,77,2,64,3,4,128,0.3389174058084701,0.0010234352025842366,8192,0.861521306551047,0.10857605672180341,0.4687116564417178,0.0498703675461339,0.068593845
ft_dense,78,2,16,2,4,128,0.3785641288645579,0.0016282614228705528,1024,0.8678050830330719,0.1161879847337493,0.47791411042944787,0.04991484927049972,0.041141752
ft_dense,79,2,16,3,4,128,0.39291946138325345,0.0014075427580540097,1024,0.8660092883766175,0.1163086548555265,0.4754601226993865,0.04989578567434294,0.062004957
