stage,trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val,aeq_fpr_parity_age_test,aeq_fpr_parity_income_test,aeq_fpr_parity_employment_status_test,aeq_fpr_parity_age_val,aeq_fpr_parity_income_val,aeq_fpr_parity_employment_status_val,attribute_n_distinct_groups,attribute_is_degenerate,aeq_attribute_n_distinct_groups_age_test,aeq_attribute_n_distinct_groups_income_test,aeq_attribute_n_distinct_groups_employment_status_test,aeq_attribute_n_distinct_groups_age_val,aeq_attribute_n_distinct_groups_income_val,aeq_attribute_n_distinct_groups_employment_status_val,aeq_attribute_is_degenerate_age_test,aeq_attribute_is_degenerate_income_test,aeq_attribute_is_degenerate_employment_status_test,aeq_attribute_is_degenerate_age_val,aeq_attribute_is_degenerate_income_val,aeq_attribute_is_degenerate_employment_status_val
ft_dense,0,0.5295343988881166,0.07559937122758735,0.05544939637184143,0.06179625195416856,0.501840490797546,0.04997204005897006,0.05659236473976523,0.47532066288483904,0.19682258154853885,0.07559937122758735,0.42850808010980174,0.18451886033898185,0.05659236473976523,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,1,0.4676858929812368,0.11921772162122901,0.03565376251935959,0.04656363168622484,0.4852760736196319,0.04969879518072289,0.13556623541858767,0.47131714551430803,0.16858426098360932,0.11921772162122901,0.450541490412275,0.17856586830850935,0.13556623541858767,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,2,0.46942321056289077,0.05560727969779543,0.04176047444343567,0.05030376189816556,0.4521472392638037,0.049902140206395204,0.04896501906442802,0.4742231414589943,0.1464047354516783,0.05560727969779543,0.4594572090149498,0.15778398994867893,0.04896501906442802,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,3,0.47428769979152174,0.08126311844517957,0.06589800119400024,0.04778065818376111,0.4901840490797546,0.04974963143714097,0.08872706866993262,0.4677183616807558,0.18162756210252445,0.08126311844517957,0.4555910622788182,0.19062155918652723,0.08872706866993262,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,4,0.5083391243919387,0.05435214635318005,0.03208386152982712,0.05336611719074664,0.48895705521472393,0.04995297646281328,0.042906105716025614,0.4729594300385133,0.1946055034209935,0.05435214635318005,0.42333749774372653,0.19509750378970422,0.042906105716025614,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,5,0.5239749826268241,0.0668941814388814,0.044839296489953995,0.05961945659272159,0.49263803680981594,0.04988307661023842,0.05395589828307307,0.5100298272690698,0.1888703127770156,0.0668941814388814,0.45472845064048956,0.1705590273163393,0.05395589828307307,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,6,0.5267546907574703,0.04911348524875833,0.05051384121179581,0.06039122949359824,0.49693251533742333,0.04950180468710284,0.05311163911605679,0.4735842164874188,0.20526471115479525,0.04911348524875833,0.4363188747424209,0.19578085512937574,0.05311163911605679,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,7,0.515983321751216,0.09599612257592897,0.023230621591210365,0.056794569885025625,0.48466257668711654,0.04989578567434294,0.05599787243435771,0.45818027305973874,0.19965666092825377,0.09599612257592897,0.42394090806151635,0.18346917574925825,0.05599787243435771,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,8,0.4794996525364835,0.040853098243857515,0.02738312818109989,0.04859200918211862,0.4815950920245399,0.04933658685374409,0.028430327234450943,0.4645825197884024,0.15580850500378818,0.040853098243857515,0.4334787254306701,0.1735505152264253,0.028430327234450943,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,9,0.42981236970118125,0.10452803509304097,0.06708121299743652,0.048710743474561176,0.4251533742331288,0.04989578567434294,0.11777785666071022,0.4671671201050028,0.10452803509304097,0.13773925064178846,0.42579656787161935,0.11777785666071022,0.16367567767051688,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
