stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
ft_dense,0,8,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.89972023791244,0.17120961365097823,0.5459427207637232,0.049796653110207346,0.076986164
ft_dense,1,7,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.9002794319143949,0.1737677077995193,0.5465393794749404,0.0499766651110074,0.06009717
ft_dense,2,8,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.8928333905633487,0.15898042991728706,0.5119331742243437,0.0499766651110074,0.08319798
ft_dense,3,8,32,6,8,192,0.3314950036607718,0.0006821416720689545,8192,0.8994369453588076,0.1761136531684322,0.5560859188544153,0.049609973998266554,0.055724286
ft_dense,4,3,32,2,4,128,0.04634762381005189,0.0021888937469133466,1024,0.9012021644720626,0.17495612432685043,0.5447494033412887,0.04969664644309621,0.035752684
ft_dense,5,8,64,4,8,192,0.20909313175279765,0.0008029015070298228,8192,0.9018003069735278,0.1788734374085303,0.5566825775656324,0.049889992666177746,0.06371306
ft_dense,6,7,48,4,4,256,0.3232481518257668,0.0012898078364194318,8192,0.9008101136734494,0.17604653851464536,0.5477326968973747,0.04986999133275552,0.03548425
ft_dense,7,4,48,2,8,128,0.16696440125951162,0.0005002983438043643,4096,0.8996434806075377,0.1737040433569316,0.5465393794749404,0.049783318887925865,0.034124464
ft_dense,8,7,64,6,8,256,0.2010716092915446,0.00033775361497450577,2048,0.9026861436744946,0.17884400429925976,0.5459427207637232,0.04998999933328888,0.059473157
ft_dense,9,5,32,5,8,192,0.03611590802176332,0.002053164517837489,8192,0.9012823667162537,0.17849766321253774,0.5572792362768496,0.04985665711047403,0.03875234
ft_dense,10,7,16,5,8,64,0.005852866268886089,0.0014429425636699395,1024,0.9010508039438111,0.17607250574926317,0.5507159904534606,0.04989665977731849,0.04672394
ft_dense,11,4,64,4,8,192,0.13232930855785874,0.0009826926209444164,4096,0.9019621415492934,0.17243079787799354,0.5548926014319809,0.04987665844389626,0.064023115
ft_dense,12,8,32,5,8,192,0.10679642917814776,0.0026522376901926318,2048,0.9034676854351944,0.17404352130019257,0.5548926014319809,0.04996333088872591,0.046811286
ft_dense,13,4,64,3,8,192,0.08804583857440337,0.0009689550269534469,8192,0.8997538280594999,0.1719273150063233,0.5399761336515513,0.049883325555037,0.031073257
ft_dense,14,3,32,3,8,192,0.17198593239292648,0.001410896315467192,8192,0.8952789911531094,0.1582897355063418,0.5250596658711217,0.04990999399959997,0.06779211
ft_dense,15,3,64,4,8,192,0.0012624085772008423,0.0029926328899545266,8192,0.8973006116079975,0.16918121097899186,0.538782816229117,0.04994332955530369,0.033371065
ft_dense,16,5,48,5,8,192,0.2647080858469188,0.0007917378595571445,4096,0.9010601144292675,0.176395719554696,0.5507159904534606,0.04998999933328888,0.065382205
ft_dense,17,3,16,3,8,64,0.07296535921006472,0.0004960765405440294,1024,0.8989969916053273,0.16856877236187331,0.5393794749403341,0.04990999399959997,0.043095894
ft_dense,18,3,32,6,4,256,0.2132393042514718,0.0019754570744101372,2048,0.9000299761431988,0.16869655433537364,0.5501193317422435,0.049983332222148145,0.047098335
ft_dense,19,3,64,5,8,192,0.1301569970431926,0.0012446962530242652,8192,0.8986496693256081,0.16779259637053395,0.5465393794749404,0.049743316221081406,0.045282647
ft_dense,20,3,64,4,8,192,0.046317606946777765,0.0016978577649473094,8192,0.9010006713255825,0.1719920022705844,0.5584725536992841,0.04989665977731849,0.04916884
ft_dense,21,3,64,4,8,192,0.047983184547742745,0.0018053003112619241,8192,0.9002381801587092,0.17708839040212404,0.5459427207637232,0.04932328821921461,0.033306688
ft_dense,22,3,64,3,8,192,0.038598250095533984,0.0016601732632983883,8192,0.8989570187734075,0.17059547350804377,0.5369928400954654,0.04998999933328888,0.05002066
ft_dense,23,2,64,4,8,192,0.1590602526122234,0.001102218267640866,8192,0.8908821168825733,0.14466784962119317,0.5083532219570406,0.049956663777585175,0.04204411
ft_dense,24,3,64,5,8,192,0.11036249453249039,0.00251791274246698,8192,0.8993124800205455,0.16895003952023416,0.5369928400954654,0.049503300220014666,0.08403797
ft_dense,25,2,32,4,8,192,0.07162289781500866,0.0008177356118492752,8192,0.8821167493107337,0.12013386702403481,0.4743436754176611,0.049889992666177746,0.036124416
ft_dense,26,3,16,4,8,64,0.02825724573682309,0.0016027242512012556,2048,0.9016571788954586,0.16956632938533778,0.5441527446300716,0.049796653110207346,0.035611726
ft_dense,27,7,48,3,4,128,0.24559311474789994,0.0011777108008971784,4096,0.9028253056965929,0.17408053700126014,0.5531026252983293,0.049916661110740716,0.040596038
ft_dense,28,3,64,5,8,256,0.3017511018096213,0.002227099702261257,1024,0.8997542656383933,0.16882300426355346,0.5346062052505967,0.04986999133275552,0.07667066
ft_dense,29,2,32,6,4,64,0.14439319830010808,0.0008419546361464763,8192,0.8928683173150287,0.14818589684902966,0.5083532219570406,0.04986999133275552,0.023905218
ft_dense,30,2,32,5,8,192,0.18695805561457002,0.0005861421872990576,8192,0.8775099823679575,0.12191382219366623,0.47315035799522676,0.04981665444362957,0.03482085
ft_dense,31,2,32,6,8,192,0.3905987299557228,0.000683725363218076,8192,0.8582276069796857,0.10435651219918712,0.4403341288782816,0.049956663777585175,0.050374124
ft_dense,32,2,32,6,8,192,0.3369873562179718,0.00041598144834002196,8192,0.8357692521585767,0.07433530836515057,0.36336515513126494,0.049623308220548036,0.022573745
ft_dense,33,2,32,6,8,192,0.35497729512757215,0.0007046640164533673,8192,0.8457444637120598,0.07973476680302843,0.41348448687350836,0.04999666644442963,0.07225482
ft_dense,34,2,32,5,8,128,0.2892937546237918,0.001044185305639739,8192,0.8859751250719817,0.13749495553806776,0.4946300715990454,0.04986999133275552,0.048193093
ft_dense,35,2,64,4,4,192,0.36714656740586527,0.0005741565927283722,8192,0.8829021875125804,0.1331275324669446,0.49403341288782815,0.04994332955530369,0.052610036
ft_dense,36,2,32,5,8,192,0.2263826080943793,0.0007064340077708271,8192,0.8764685167555323,0.12461049763082244,0.46241050119331745,0.0497899859990666,0.07138257
ft_dense,37,6,48,4,4,128,0.2965309299471086,0.0020575280971049897,8192,0.9029410632148747,0.17985720782489314,0.5560859188544153,0.04990332688845923,0.04652418
ft_dense,38,3,16,6,8,256,0.06633859698004146,0.00046025447202593126,1024,0.9013708332345466,0.17228608483034458,0.5548926014319809,0.04996999799986666,0.02453742
ft_dense,39,2,64,2,8,192,0.026301679888542165,0.001390594818758442,4096,0.8994718681324976,0.17531541814968465,0.535799522673031,0.04999666644442963,0.022819208
ft_dense,40,2,32,4,8,192,0.25194638920019696,0.00030575194618561005,2048,0.8909226824349945,0.14767371739498686,0.5119331742243437,0.04950996733115541,0.051511645
ft_dense,41,2,48,4,4,128,0.29373493672804263,0.002186172698054546,8192,0.8901713137279955,0.1523214909273647,0.5202863961813843,0.04994332955530369,0.06088532
ft_dense,42,3,48,4,4,128,0.30880707612782127,0.0018341624556331957,8192,0.8971781989125449,0.16166815941056972,0.5423627684964201,0.04999666644442963,0.052928567
ft_dense,43,2,48,3,4,128,0.3332582345212985,0.0024754498036988174,8192,0.892477298804805,0.1535636052016209,0.5250596658711217,0.049916661110740716,0.0742626
ft_dense,44,2,48,5,4,128,0.3659016602577649,0.0009006281177550128,8192,0.8917336812112056,0.15413461867382128,0.5262529832935561,0.04982998866591106,0.043702587
ft_dense,45,7,48,4,4,128,0.27723924315255666,0.0028772348890221846,8192,0.9024018427004123,0.17524268138663796,0.5507159904534606,0.049956663777585175,0.044150822
ft_dense,46,2,64,5,4,64,0.09311544205997603,0.0015584510087858,8192,0.8940918416040783,0.15237652281829395,0.5208830548926014,0.04977665177678512,0.064493895
ft_dense,47,6,16,3,8,192,0.32339817430954176,0.002022762211881669,1024,0.9018251515097029,0.17262073067839845,0.5525059665871122,0.04998999933328888,0.06216318
ft_dense,48,5,48,4,8,256,0.20777949616204786,0.0022740104261176697,4096,0.9019785666697587,0.1766752507023542,0.5548926014319809,0.049609973998266554,0.08357522
ft_dense,49,2,64,5,8,192,0.27005507364839926,0.0006419274622758477,8192,0.8913593762257181,0.14611538661794166,0.5041766109785203,0.04992332822188146,0.043652106
ft_dense,50,2,32,6,4,128,0.22099153790335485,0.0005319433095175794,2048,0.8952560978210004,0.1591843386523652,0.5202863961813843,0.049809987332488835,0.035745874
ft_dense,51,3,64,4,8,192,0.12360708235777797,0.000997634817791451,4096,0.9004572261858029,0.16745991907050745,0.5393794749403341,0.04992332822188146,0.03743587
ft_dense,52,3,64,4,8,192,0.014643941664233284,0.0007472714148507952,4096,0.8995903963207731,0.17418885818373808,0.5441527446300716,0.04996999799986666,0.04447419
ft_dense,53,2,64,4,8,192,0.05696035882443054,0.0017818655037575475,4096,0.9023425308703954,0.17575708764157133,0.5507159904534606,0.04994332955530369,0.044467602
