stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
ft_dense,0,5,32,2,4,64,0.38796394086479774,0.0020396887264773375,8192,0.9340672910413597,0.47013092172798887,0.7034606205250596,0.0494299619974665,0.04795146
ft_dense,1,8,64,2,8,128,0.236965827544817,0.0003338655952471722,8192,0.934065791339152,0.4864082275137168,0.6986873508353222,0.04998999933328888,0.03067151
ft_dense,2,8,16,5,4,192,0.2650089137415928,0.000614939415628505,8192,0.9240371116228752,0.45809839562406784,0.6742243436754176,0.049449963330888726,0.031047951
ft_dense,3,8,32,6,8,192,0.3314950036607718,0.0006821416720689545,8192,0.9318435946644652,0.482643052452727,0.6992840095465394,0.04985665711047403,0.016947852
ft_dense,4,6,32,2,4,128,0.04634762381005189,0.0021888937469133466,1024,0.9368337264648192,0.5015586118429817,0.7094272076372315,0.04996999799986666,0.0207748
ft_dense,5,7,64,4,8,192,0.20909313175279765,0.0008029015070298228,8192,0.9355656825013473,0.48628619584490274,0.7004773269689738,0.049183278885259016,0.021707896
ft_dense,6,7,48,4,4,256,0.3232481518257668,0.0012898078364194318,8192,0.937496767883173,0.48978033000916055,0.7064439140811456,0.04986999133275552,0.07200301
ft_dense,7,6,48,2,8,128,0.16696440125951162,0.0005002983438043643,4096,0.9348743436515499,0.4915379005773463,0.7028639618138425,0.04972998199879992,0.028067548
ft_dense,8,8,64,6,8,256,0.2010716092915446,0.00033775361497450577,2048,0.9380544243920159,0.4953328184117204,0.7088305489260143,0.04996999799986666,0.028561834
ft_dense,9,7,32,5,8,192,0.03611590802176332,0.002053164517837489,8192,0.9377144434927325,0.4943766669835467,0.711217183770883,0.04967664510967398,0.026888767
ft_dense,10,2,16,5,8,64,0.005852866268886089,0.0014429425636699395,1024,0.9324526090124385,0.48072891263093726,0.7004773269689738,0.049769984665644376,0.028166194
ft_dense,11,4,32,3,4,128,0.02263642190041475,0.0026767100318664788,1024,0.936496544081459,0.49356592490313356,0.7052505966587113,0.04998999933328888,0.034842275
ft_dense,12,8,32,3,4,128,0.09961849795779165,0.0027216240940156544,1024,0.9366955947421157,0.49733098731927144,0.7100238663484487,0.04984998999933329,0.039879076
ft_dense,13,8,32,4,4,192,0.10684844119457632,0.0029413670556475827,2048,0.9386652964612915,0.49736059102269015,0.7171837708830548,0.04984998999933329,0.023767164
ft_dense,14,8,32,5,8,192,0.11417727125033834,0.0014421131534878614,2048,0.9382666959022408,0.5001266261567245,0.714200477326969,0.04994332955530369,0.0315681
ft_dense,15,3,32,4,4,192,0.1134984816437166,0.0011621088792414358,2048,0.9340176377709191,0.4912646031812199,0.6963007159904535,0.04986999133275552,0.017429775
ft_dense,16,5,32,5,4,192,0.1346233632697712,0.0015034098900976777,2048,0.9373323297129911,0.49645210635418896,0.711217183770883,0.049916661110740716,0.041909877
ft_dense,17,4,48,3,8,192,0.07225314052102706,0.0010215609582521054,2048,0.9349075837354948,0.4928291842073871,0.7040572792362768,0.049423294886325755,0.02798978
ft_dense,18,6,16,6,4,192,0.12953692378710205,0.0017060284617980341,2048,0.9363297191173128,0.49250427692849746,0.7100238663484487,0.049956663777585175,0.022217542
ft_dense,19,2,32,5,8,256,0.16959789213183213,0.0029788223711119813,4096,0.9337300589331254,0.4850672754861016,0.6921241050119332,0.04990999399959997,0.026124112
ft_dense,20,2,32,4,4,64,0.07332214232563034,0.0009055430785085044,2048,0.9321324325360753,0.4727247465744251,0.6897374701670644,0.04948329888659244,0.028173607
ft_dense,21,8,32,5,8,192,0.05427623623008339,0.0020033345463209328,2048,0.9391000012570447,0.5009933777885881,0.7189737470167065,0.049929995333022205,0.018525021
ft_dense,22,8,32,5,8,192,0.06643086162723706,0.0016785032929417284,2048,0.937777074955355,0.5023148296566455,0.7124105011933174,0.049329955330355356,0.04566765
ft_dense,23,2,32,4,8,192,0.1590602526122234,0.002203950387064428,2048,0.9358077630791934,0.480813328715404,0.6927207637231504,0.04981665444362957,0.020128129
ft_dense,24,4,32,6,8,192,0.09717604845468727,0.0024416756836030395,2048,0.9383643018524226,0.49764456226178294,0.7106205250596659,0.04993666244416294,0.06676915
ft_dense,25,2,32,5,8,192,0.14424539907424022,0.0018036133348502585,2048,0.9320430848930104,0.48678549432563856,0.6843675417661098,0.04994332955530369,0.050498597
ft_dense,26,7,64,3,8,192,0.052867310862810074,0.0012407373796829763,4096,0.9380059486065977,0.5034772673265766,0.7177804295942721,0.0499766651110074,0.033428345
ft_dense,27,8,64,3,8,192,0.0013120744496840364,0.001125861381546616,4096,0.9397581795826961,0.5023439988917812,0.7147971360381862,0.0499766651110074,0.0223204
ft_dense,28,5,64,3,4,64,0.05985017145030154,0.0019137357875517156,4096,0.9375988232151038,0.5001584315310481,0.7052505966587113,0.04986999133275552,0.026800182
ft_dense,29,3,64,4,4,256,0.08534477528033103,0.002313615213623784,4096,0.9340704058074834,0.47672761328816965,0.7004773269689738,0.04999666644442963,0.025302427
ft_dense,30,3,64,3,8,64,0.037709688779767485,0.0028746264916045244,4096,0.9375392388927758,0.4989656969350095,0.7106205250596659,0.049783318887925865,0.0366535
ft_dense,31,2,64,3,8,192,0.01013143811156092,0.001116145881866603,4096,0.9341170974644133,0.4855208249639926,0.6903341288782816,0.04990999399959997,0.026049545
ft_dense,32,2,64,2,8,192,0.027890385095764907,0.0008177922665994614,4096,0.9317666464160459,0.4840847536252429,0.6915274463007159,0.04976331755450363,0.060407363
ft_dense,33,7,64,3,8,192,0.002628529699628919,0.0012832131206576432,4096,0.9376547756326158,0.4923213479282512,0.7118138424821002,0.04993666244416294,0.02255461
ft_dense,34,2,64,4,8,192,0.04986402441858794,0.0005149763832364582,4096,0.9303031896637183,0.47686522102965356,0.6891408114558473,0.049929995333022205,0.021618182
ft_dense,35,2,16,2,8,192,0.2400964659005544,0.0009862072932498235,4096,0.9170502894305921,0.43316628373083266,0.6563245823389021,0.04969664644309621,0.018758643
ft_dense,36,7,64,3,8,192,0.05034768241794655,0.0007064340077708271,4096,0.939577829452751,0.5015828765684148,0.7183770883054893,0.04999666644442963,0.030224934
ft_dense,37,2,48,4,4,192,0.0809468038782829,0.0004923235528836902,4096,0.9293007222756776,0.47169943051484486,0.6873508353221957,0.04993666244416294,0.018546535
ft_dense,38,2,64,2,8,192,0.37275704669262555,0.0006416818699220732,8192,0.91926770456137,0.4410683512497756,0.6599045346062052,0.049809987332488835,0.023459828
ft_dense,39,7,16,4,8,128,0.05023331009477233,0.000555762665535165,1024,0.9389540706850624,0.4988131658169906,0.7201670644391408,0.049169944662977534,0.028213631
ft_dense,40,2,16,3,8,128,0.27240038206638933,0.00041643402965745274,1024,0.9275904750054139,0.46823923157368663,0.6825775656324582,0.049889992666177746,0.0153705
ft_dense,41,7,16,4,8,128,0.05023047574009923,0.0006753764349333839,1024,0.9387035149996474,0.5023782133344549,0.7165871121718377,0.049956663777585175,0.015940577
ft_dense,42,5,16,4,8,128,0.09912759502198312,0.0007567326537020644,1024,0.9377536505615889,0.49612226147861455,0.7088305489260143,0.04994332955530369,0.023292711
ft_dense,43,2,16,4,8,128,0.032467381168656564,0.0005732434816855712,1024,0.9285367314065965,0.477001997484531,0.6939140811455847,0.049889992666177746,0.032565076
ft_dense,44,2,48,3,8,256,0.051314763864546434,0.0003920179312869229,8192,0.9039318850373637,0.39893312079727916,0.6151551312649165,0.04941662777518501,0.02123484
ft_dense,45,7,64,4,4,128,0.0210218236672428,0.0007536226175133,1024,0.9388804579812082,0.49745768226049236,0.7118138424821002,0.049983332222148145,0.025460199
ft_dense,46,2,16,5,8,192,0.08967262900097675,0.0005975026503604413,2048,0.9246358667347911,0.45803030999654354,0.6712410501193318,0.04998999933328888,0.02504647
ft_dense,47,3,64,2,8,128,0.11380668207072211,0.00044158527301524825,1024,0.9370966159080454,0.4903600295259282,0.7100238663484487,0.049769984665644376,0.020396054
ft_dense,48,6,32,6,4,64,0.06615792918642453,0.0024521879066748855,2048,0.9384741142647377,0.4992904509706507,0.714200477326969,0.04984332288819254,0.022097452
ft_dense,49,2,48,3,8,192,0.04179578505951168,0.0008643897012518369,8192,0.9198321196751224,0.4620151847759063,0.6575178997613366,0.04989665977731849,0.051859204
ft_dense,50,3,32,5,4,256,0.12554605939056848,0.0015279669704302693,4096,0.9344839178618272,0.48736362175413767,0.6968973747016707,0.04987665844389626,0.031225462
ft_dense,51,2,16,4,8,128,0.052191059418687,0.0007144265926317351,1024,0.9291347127994691,0.4792777720206812,0.6939140811455847,0.049796653110207346,0.020170428
ft_dense,52,2,16,4,8,128,0.02000811896121,0.0005697069236010787,1024,0.9315939837516614,0.4798654368136168,0.6903341288782816,0.04957663844256284,0.034256496
ft_dense,53,3,16,3,8,128,0.07703660705388786,0.0006601882381698517,1024,0.9357855002584898,0.48957647951996364,0.714200477326969,0.049809987332488835,0.02658387
ft_dense,54,4,16,5,8,128,0.06021366137165933,0.002006281077249305,1024,0.9372936000029279,0.49285484043009004,0.7100238663484487,0.049983332222148145,0.014148795
ft_dense,55,2,16,4,8,128,0.04094888266450551,0.0005308521957850603,2048,0.9278804903620465,0.47055778581905905,0.6795942720763724,0.04999666644442963,0.039867934
ft_dense,56,2,32,3,8,192,0.19030347174661139,0.0007004301164496489,1024,0.9324506975882719,0.4874597241949793,0.6921241050119332,0.0494299619974665,0.042577323
ft_dense,57,2,16,4,8,192,0.10444580546143017,0.0004686174989152914,2048,0.9251459723408769,0.46378985581906546,0.6670644391408115,0.049223281552103475,0.019523324
ft_dense,58,1,32,5,4,192,0.019806444778434996,0.0026363549111508154,2048,0.9326421065302524,0.4796369916864853,0.6951073985680191,0.04994999666644443,0.014340562
ft_dense,59,2,64,4,8,128,0.14853613323270626,0.00034162106326307584,1024,0.9332588083437863,0.47765945543091676,0.6927207637231504,0.049783318887925865,0.043579876
ft_dense,60,2,32,5,8,192,0.08659334428331765,0.0013020956265960282,4096,0.9344122444280694,0.4833722889568696,0.6915274463007159,0.0495233015534369,0.034888446
ft_dense,61,4,64,3,8,192,0.0012889780258541622,0.0011514473558921132,4096,0.9366566243636609,0.49709969689540395,0.7082338902147971,0.049649976665111006,0.032905053
ft_dense,62,2,64,3,8,192,0.01853805853103921,0.0009534109480494638,4096,0.931211808313076,0.47306599589310855,0.6873508353221957,0.049623308220548036,0.014029097
ft_dense,63,2,64,3,8,192,0.06018909479022896,0.000850519161359344,4096,0.933600652931357,0.48463235974594365,0.6933174224343676,0.04996333088872591,0.019347189
ft_dense,64,7,64,4,8,192,0.04022895368213113,0.0012776749071523312,4096,0.9395354260689774,0.5013884074293532,0.7201670644391408,0.04987665844389626,0.035972506
ft_dense,65,7,64,4,8,64,0.03499195640518986,0.0013520152039945923,2048,0.9394784692090052,0.5034203211218137,0.7130071599045346,0.04986999133275552,0.028239913
ft_dense,66,2,32,4,4,192,0.05042078902798691,0.001051460519261696,4096,0.9281379259810638,0.4648826006850626,0.684964200477327,0.049983332222148145,0.022646423
ft_dense,67,2,64,4,8,192,0.07495392676256987,0.0016916602497625889,4096,0.9332372913961965,0.48450736365063957,0.6903341288782816,0.049929995333022205,0.035524655
ft_dense,68,2,48,4,8,256,0.06275040160381185,0.0018385159631168037,2048,0.9350248230550295,0.4863857669973165,0.7100238663484487,0.04990332688845923,0.02626442
ft_dense,69,2,64,4,4,192,0.29519198842176086,0.0007804924129078837,8192,0.9215536604588277,0.45631879618465826,0.6539379474940334,0.049836655777051805,0.042686358
ft_dense,70,2,16,4,8,192,0.12600000369568098,0.0015330957745134394,4096,0.9252176895325241,0.4573250906794866,0.6712410501193318,0.049783318887925865,0.024493847
ft_dense,71,2,64,3,8,192,0.013177520601661705,0.0012191501478826731,4096,0.9346951670286372,0.4896220544357177,0.7004773269689738,0.04996333088872591,0.025074227
ft_dense,72,2,64,3,8,192,0.029940057438637875,0.0013878297308127932,4096,0.9342540079442051,0.49143277787763867,0.6933174224343676,0.04982998866591106,0.02324017
ft_dense,73,2,64,6,8,192,0.0009372548739716921,0.0010756102234576969,4096,0.9292038283856952,0.4529501253710281,0.6855608591885441,0.04992332822188146,0.028322782
ft_dense,74,3,64,3,8,192,0.04619461445472307,0.0009138367586762891,4096,0.9345550184650337,0.4931070373937234,0.7004773269689738,0.04993666244416294,0.06404147
ft_dense,75,2,32,2,8,128,0.03489860833588261,0.0006419782824844005,4096,0.92792088088291,0.474748051465057,0.6813842482100239,0.04989665977731849,0.013400443
ft_dense,76,2,64,4,8,192,0.012765515469357606,0.0011917901788840702,1024,0.9359290480144977,0.4961310200125224,0.7016706443914081,0.049769984665644376,0.041285597
ft_dense,77,7,64,3,8,64,0.09454742911451308,0.001014029671681938,2048,0.9396208951718501,0.502956971572756,0.7147971360381862,0.049836655777051805,0.028317874
ft_dense,78,2,16,4,4,192,0.07223288264643456,0.0005399054843695067,4096,0.9121889868234652,0.40578662531327403,0.6342482100238663,0.04999666644442963,0.02608841
ft_dense,79,3,32,2,8,192,0.10619520550133739,0.0020725737858537374,1024,0.9368711911740815,0.4919607378894338,0.7034606205250596,0.049463297553170214,0.032185953
