stage,trial,best_iteration,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
lightgbm,0,231,gbdt,244,12,0.045918988705873284,289,0.749816047538945,1,0.608233797718321,5.360294728728285,0.31044435499483225,4.997040685255803e-07,0.8640837910935503,0.1360256449375818,0.4822085889570552,0.04974327690508871,0.5751113727372585
lightgbm,1,546,gbdt,72,10,0.014689372953975089,159,0.6727299868828402,1,0.7824279936868144,0.1165691561324743,6.267062696005991e-07,0.00012997969313168238,0.8868467385110841,0.15247293555592784,0.5177914110429448,0.04988307661023842,0.7378414902846813
lightgbm,2,708,gbdt,41,10,0.015380821666156693,57,0.836965827544817,1,0.8736932106048627,9.148975058772307e-05,1.254134495897175e-07,9.149877525022172e-05,0.8864516464553562,0.15454709657130256,0.5257668711656441,0.04973692237303645,0.7502166669834169
lightgbm,3,1,gbdt,235,4,0.17877333612826407,315,0.6137554084460873,1,0.9757995766256756,1.1309571585271483,0.002404915432737351,0.23713402899336497,0.8098926185443802,0.047425556867584234,0.3300613496932515,0.04718875502008032,0.9999537196236992
lightgbm,4,690,gbdt,75,10,0.014094313993387368,226,0.6353970008207678,1,0.6563696899899051,0.16587190283399655,4.6876566400928895e-08,0.7854083114461319,0.8853748378619706,0.15710898349323518,0.5171779141104295,0.04940648670631895,0.7283143000790082
lightgbm,5,719,gbdt,75,4,0.018760897310138556,64,0.908897907718663,1,0.9452413703502374,0.004070831640873338,9.507847858536042e-06,3.224532824812341e-08,0.8898889492894309,0.15572223165199295,0.5263803680981595,0.0498703675461339,0.7710012329659583
lightgbm,6,92,gbdt,104,6,0.08275481892245508,233,0.7243929286862649,1,0.9083868719818244,0.0002780739892288472,0.0005065186776865479,2.632256136809142e-05,0.866045033594033,0.11055187210695218,0.47914110429447854,0.049902140206395204,0.8206925798189891
lightgbm,7,497,gbdt,55,10,0.02272103268578588,307,0.610167650697638,1,0.6915192661966489,4.929685216887945e-08,4.052873758065144e-06,1.9488135833929595e-07,0.8857735555096053,0.1540170298863017,0.5190184049079755,0.049838594885872604,0.7449566856758416
lightgbm,8,61,gbdt,212,10,0.09829639089252526,361,0.9718790609370292,1,0.7272013899887455,9.782893389157736e-08,1.1256839212661599e-06,2.6113333123958975e-05,0.8476718242076016,0.10827249482919801,0.4570552147239264,0.049825885821768084,0.7454987477875924
lightgbm,9,92,gbdt,224,4,0.1620197345919019,143,0.9272059063689972,1,0.8075162486973464,0.02124078827890451,1.8735548907110496e-05,0.5946434805027183,0.8198456499758449,0.043828048170455165,0.2803680981595092,0.04999745818717909,0.9932232431333484
