stage,trial,best_iteration,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
lightgbm,0,201,gbdt,244,12,0.045918988705873284,289,0.749816047538945,1,0.608233797718321,5.360294728728285,0.31044435499483225,4.997040685255803e-07,0.8516219884586103,0.11942917140749576,0.45153374233128835,0.049838594885872604,0.6133835100534468
lightgbm,1,695,gbdt,72,10,0.014689372953975089,159,0.6727299868828402,1,0.7824279936868144,0.1165691561324743,6.267062696005991e-07,0.00012997969313168238,0.8728636414104037,0.1311955557482712,0.48282208588957054,0.04992120380255198,0.7220924124806247
lightgbm,2,746,gbdt,41,10,0.015380821666156693,57,0.836965827544817,1,0.8736932106048627,9.148975058772307e-05,1.254134495897175e-07,9.149877525022172e-05,0.8751857784481093,0.13134632614491293,0.48588957055214727,0.04981953128971583,0.7465187251734134
lightgbm,3,1,gbdt,235,4,0.17877333612826407,315,0.6137554084460873,1,0.9757995766256756,1.1309571585271483,0.002404915432737351,0.23713402899336497,0.7937264960283785,0.04250332756883142,0.27607361963190186,0.04213690203853388,0.999929376629547
lightgbm,4,534,gbdt,75,10,0.014094313993387368,226,0.6353970008207678,1,0.6563696899899051,0.16587190283399655,4.6876566400928895e-08,0.7854083114461319,0.8747248682545666,0.13329928491885001,0.4852760736196319,0.0498703675461339,0.7340341438521895
lightgbm,5,974,gbdt,75,4,0.018760897310138556,64,0.908897907718663,1,0.9452413703502374,0.004070831640873338,9.507847858536042e-06,3.224532824812341e-08,0.8769460189129588,0.13441930606128022,0.49570552147239266,0.04976234050124549,0.7667871149694743
lightgbm,6,155,gbdt,104,6,0.08275481892245508,233,0.7243929286862649,1,0.9083868719818244,0.0002780739892288472,0.0005065186776865479,2.632256136809142e-05,0.8482880422832901,0.10336060191121596,0.4312883435582822,0.0498703675461339,0.8088607111216434
lightgbm,7,469,gbdt,55,10,0.02272103268578588,307,0.610167650697638,1,0.6915192661966489,4.929685216887945e-08,4.052873758065144e-06,1.9488135833929595e-07,0.8731394475939012,0.1325716559929988,0.47607361963190187,0.04966066798840933,0.7488652593746479
lightgbm,8,95,gbdt,212,10,0.09829639089252526,361,0.9718790609370292,1,0.7272013899887455,9.782893389157736e-08,1.1256839212661599e-06,2.6113333123958975e-05,0.8290066455150416,0.09445412776535406,0.41595092024539876,0.04994026739870876,0.713983460121208
lightgbm,9,60,gbdt,224,4,0.1620197345919019,143,0.9272059063689972,1,0.8075162486973464,0.02124078827890451,1.8735548907110496e-05,0.5946434805027183,0.8024659268431964,0.03961602104595474,0.0,0.0,inf
lightgbm,10,1312,gbdt,156,-1,0.005342518154571319,25,0.8571259489783243,1,0.963065918113007,6.626284670850535e-06,0.0672587214984537,1.8820074597072525e-08,0.8741074026633833,0.12815829591147024,0.4840490797546012,0.04981953128971583,0.6450853667926487
lightgbm,11,1640,gbdt,35,8,0.006847150663471232,36,0.8513090775223854,1,0.8825717010494067,0.0007522249733932732,1.197846265321099e-08,0.003920367790659323,0.8765861184896455,0.13368834300064164,0.4901840490797546,0.049825885821768084,0.7522663008366933
lightgbm,12,1089,gbdt,119,8,0.005177639227435515,78,0.9033420836036539,1,0.888138492052542,0.004454372242648393,2.005732281713045e-08,0.004092268896918051,0.869417138149554,0.127137490080067,0.4754601226993865,0.04997204005897006,0.7008148444705323
lightgbm,13,513,gbdt,163,8,0.008967282352731264,109,0.9984066126989742,1,0.833290861586531,9.445327303329918e-06,4.0607263828771085e-05,0.008671116081593074,0.8656487135152399,0.12297520630984088,0.4638036809815951,0.049565350007625436,0.6867273503844928
lightgbm,14,362,gbdt,32,8,0.04037059409793296,32,0.8138190417580734,1,0.9304413099351528,0.0032136355327721912,0.006120099871489776,0.003115455920006742,0.8698634446148342,0.12556462753602568,0.4638036809815951,0.0499339128666565,0.7764632588664152
lightgbm,15,2185,gbdt,107,4,0.008798551856588633,107,0.8958471528806028,1,0.9930744627111219,3.53310334439198e-05,7.778760649267656,2.200516451517334e-06,0.8775231741597126,0.13568293805336173,0.49754601226993866,0.04999745818717909,0.7648835487573088
lightgbm,16,669,gbdt,115,4,0.024923952018150623,147,0.913529283738332,1,0.9868516706313539,1.5433479472703222e-06,3.7580391891508396,1.1619693687477e-06,0.8762857713372711,0.13345616974590258,0.4938650306748466,0.04995297646281328,0.7698319705702247
