stage,trial,best_iteration,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
lightgbm,0,305,gbdt,244,12,0.045918988705873284,289,0.749816047538945,1,0.608233797718321,5.360294728728285,0.31044435499483225,4.997040685255803e-07,0.9392030709764103,0.47298912514806724,0.7159904534606205,0.049889992666177746,0.3050471150734013
lightgbm,1,679,gbdt,72,10,0.014689372953975089,159,0.6727299868828402,1,0.7824279936868144,0.1165691561324743,6.267062696005991e-07,0.00012997969313168238,0.946152830236415,0.49302095331890133,0.7392601431980907,0.04982332155477032,0.621245712670065
lightgbm,2,984,gbdt,41,10,0.015380821666156693,57,0.836965827544817,1,0.8736932106048627,9.148975058772307e-05,1.254134495897175e-07,9.149877525022172e-05,0.9463053941066238,0.4938218023106348,0.7410501193317423,0.049883325555037,0.6416254055145509
lightgbm,3,122,gbdt,235,4,0.17877333612826407,315,0.6137554084460873,1,0.9757995766256756,1.1309571585271483,0.002404915432737351,0.23713402899336497,0.8988465480037572,0.12780996541071454,0.6431980906921241,0.04962997533168878,0.849834465212642
lightgbm,4,831,gbdt,75,10,0.014094313993387368,226,0.6353970008207678,1,0.6563696899899051,0.16587190283399655,4.6876566400928895e-08,0.7854083114461319,0.9463786885712825,0.4927397826757215,0.7434367541766109,0.04990999399959997,0.5986739678926489
lightgbm,5,968,gbdt,75,4,0.018760897310138556,64,0.908897907718663,1,0.9452413703502374,0.004070831640873338,9.507847858536042e-06,3.224532824812341e-08,0.9468465717921369,0.49238407190395117,0.7392601431980907,0.04994332955530369,0.697866316930888
lightgbm,6,197,gbdt,104,6,0.08275481892245508,233,0.7243929286862649,1,0.9083868719818244,0.0002780739892288472,0.0005065186776865479,2.632256136809142e-05,0.93332706269519,0.4394363800592275,0.6957040572792362,0.04993666244416294,0.6790388565787733
lightgbm,7,654,gbdt,55,10,0.02272103268578588,307,0.610167650697638,1,0.6915192661966489,4.929685216887945e-08,4.052873758065144e-06,1.9488135833929595e-07,0.9462390770363212,0.4903958992556712,0.7303102625298329,0.04996999799986666,0.6177805551381824
lightgbm,8,337,gbdt,212,10,0.09829639089252526,361,0.9718790609370292,1,0.7272013899887455,9.782893389157736e-08,1.1256839212661599e-06,2.6113333123958975e-05,0.9219256979900491,0.44458387294548346,0.6730310262529833,0.04975665044336289,0.1156011236283543
lightgbm,9,182,gbdt,224,4,0.1620197345919019,143,0.9272059063689972,1,0.8075162486973464,0.02124078827890451,1.8735548907110496e-05,0.5946434805027183,0.8964013173670609,0.23720302750744915,0.6282816229116945,0.04994332955530369,0.9312201356321543
lightgbm,10,2050,gbdt,156,-1,0.005342518154571319,211,0.8054653428248835,1,0.6154900799844731,1.6509994023282418e-05,1.2540389026486229e-08,0.009063317529974553,0.9469646186436295,0.49682340115365525,0.7398568019093079,0.04982332155477032,0.4367549547335439
lightgbm,11,1599,gbdt,35,8,0.008525983790450855,43,0.8242096468795338,1,0.8684348019398175,1.3651712587033012e-05,1.2584515841298042e-08,0.001526360459400541,0.9470720522179601,0.49532852526242677,0.7350835322195705,0.04996999799986666,0.6670873796754473
lightgbm,12,1043,gbdt,120,10,0.009870386863386583,111,0.8512312224276329,1,0.8455758330045257,0.0004964437716267396,9.863966252927652e-08,0.014977408327681777,0.9446398574542997,0.4892259664336146,0.7344868735083532,0.04990332688845923,0.52089114253403
lightgbm,13,291,gbdt,163,10,0.03555207061303905,249,0.745435865714898,1,0.6978753170579768,9.445327303329918e-06,0.029849739127023857,0.0003524732352309938,0.9413559074184897,0.4769291593863668,0.7219570405727923,0.04987665844389626,0.506789276077179
lightgbm,14,1084,gbdt,34,6,0.011667114881392422,177,0.8919339318126805,1,0.7581982070191473,0.16281086831381783,5.1541609151764675e-05,3.6880893071567584e-06,0.9465452151861833,0.4926699368845249,0.7362768496420048,0.049489965997733185,0.6762973256136994
