stage,trial,best_iteration,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
lightgbm,0,408,gbdt,244,12,0.045918988705873284,289,0.749816047538945,1,0.608233797718321,5.360294728728285,0.31044435499483225,4.997040685255803e-07,0.9301038406538161,0.4789057934333676,0.6897374701670644,0.04982332155477032,0.21357651420160043
lightgbm,1,629,gbdt,72,10,0.014689372953975089,159,0.6727299868828402,1,0.7824279936868144,0.1165691561324743,6.267062696005991e-07,0.00012997969313168238,0.9382402820490339,0.48734838991237106,0.7028639618138425,0.04993666244416294,0.6292411658126721
lightgbm,2,768,gbdt,41,10,0.015380821666156693,57,0.836965827544817,1,0.8736932106048627,9.148975058772307e-05,1.254134495897175e-07,9.149877525022172e-05,0.939310779032047,0.4912954335036973,0.711217183770883,0.04982332155477032,0.665304654287893
lightgbm,3,96,gbdt,235,4,0.17877333612826407,315,0.6137554084460873,1,0.9757995766256756,1.1309571585271483,0.002404915432737351,0.23713402899336497,0.8741990376924095,0.06548059076501477,0.36515513126491644,0.0499766651110074,0.9999999787894165
lightgbm,4,742,gbdt,75,10,0.014094313993387368,226,0.6353970008207678,1,0.6563696899899051,0.16587190283399655,4.6876566400928895e-08,0.7854083114461319,0.939133440240487,0.4898008321324083,0.7153937947494033,0.049983332222148145,0.6172803140697294
lightgbm,5,941,gbdt,75,4,0.018760897310138556,64,0.908897907718663,1,0.9452413703502374,0.004070831640873338,9.507847858536042e-06,3.224532824812341e-08,0.9403193745135913,0.49208406465937804,0.7213603818615751,0.04999666644442963,0.6988074664522381
lightgbm,6,184,gbdt,104,6,0.08275481892245508,233,0.7243929286862649,1,0.9083868719818244,0.0002780739892288472,0.0005065186776865479,2.632256136809142e-05,0.9226497200052,0.44139999958317727,0.6807875894988067,0.04969664644309621,0.6963852039507792
lightgbm,7,548,gbdt,55,10,0.02272103268578588,307,0.610167650697638,1,0.6915192661966489,4.929685216887945e-08,4.052873758065144e-06,1.9488135833929595e-07,0.938227043298511,0.4892518987828707,0.714200477326969,0.04973664910994066,0.6411694956757006
lightgbm,8,89,gbdt,212,10,0.09829639089252526,361,0.9718790609370292,1,0.7272013899887455,9.782893389157736e-08,1.1256839212661599e-06,2.6113333123958975e-05,0.9099621717024572,0.4402529790925763,0.662291169451074,0.04949663310887392,0.5705077856121914
lightgbm,9,228,gbdt,224,4,0.1620197345919019,143,0.9272059063689972,1,0.8075162486973464,0.02124078827890451,1.8735548907110496e-05,0.5946434805027183,0.8862217743712747,0.25305000271038247,0.6062052505966588,0.04987665844389626,0.9175585463652546
lightgbm,10,1621,gbdt,156,-1,0.005342518154571319,25,0.8571259489783243,1,0.963065918113007,6.626284670850535e-06,0.0672587214984537,1.8820074597072525e-08,0.9370258096760944,0.4850387099515372,0.7094272076372315,0.04966997799853323,0.4508581263596978
lightgbm,11,992,gbdt,110,8,0.008168623610163437,110,0.8953622178900085,1,0.6271281071050484,0.011291224858177126,1.1663756119478735e-08,0.01383591806841819,0.9368847819767142,0.48580095170534027,0.7100238663484487,0.04996999799986666,0.6117539575625834
lightgbm,12,596,gbdt,147,4,0.03503510739733248,227,0.7910471969598991,1,0.8370283993186906,0.004055778405380871,4.873942476327535e-05,0.006293477454228128,0.9393785043107885,0.4888829070173053,0.7195704057279236,0.049463297553170214,0.711007814703154
lightgbm,13,520,gbdt,163,4,0.04009004748135968,190,0.7858889011730485,1,0.8707424791597529,0.0018118879790630545,4.0607263828771085e-05,0.003048153720784845,0.9381106831147533,0.4850775350549144,0.7082338902147971,0.0499766651110074,0.7110994013566662
lightgbm,14,735,gbdt,185,4,0.027116067925907535,93,0.9927582708372402,1,0.8124496121405842,7.6192501972243e-06,0.004633011838829133,0.004359299029555907,0.9399522378659771,0.48845977986521355,0.7124105011933174,0.04974998333222215,0.7022168154843806
lightgbm,15,461,gbdt,121,4,0.05759199745802907,253,0.8267347846072856,1,0.9209461644956097,0.002253862997344371,4.703928135873116,2.200516451517334e-06,0.9362682532057427,0.4785344467404504,0.7058472553699284,0.04955663710914061,0.7188064406669284
lightgbm,16,465,gbdt,133,-1,0.021694573717153113,179,0.9012952283453144,1,0.8527802683222512,3.2010347244885285e-05,3.997835023266481e-05,1.27477552025836e-08,0.9373801411740894,0.4857917462137702,0.7076372315035799,0.049836655777051805,0.4792133841411143
