stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,1,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.5664015289961256,0.01800190025948801,0.12947494033412887,0.049489965997733185,0.050192535
stage_a_ft,0,2,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8958089906868891,0.37535309171062325,0.6175417661097852,0.04969664644309621,0.029670537
stage_a_ft,0,3,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9201063066097803,0.4527109966015764,0.6706443914081146,0.04994332955530369,0.024512328
stage_a_ft,0,4,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9293683182697462,0.47775911206405836,0.6897374701670644,0.049356623774918326,0.009511662
stage_a_ft,0,5,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.932326504742321,0.47564200971536075,0.6974940334128878,0.04994332955530369,0.0138608655
stage_a_ft,0,6,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9313073695764285,0.47977393452732475,0.6963007159904535,0.04967664510967398,0.027011348
stage_a_ft,0,7,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9340177909235317,0.48901978646374666,0.7100238663484487,0.04984332288819254,0.024409495
stage_a_ft,0,8,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9330901037793928,0.4853702000491807,0.7052505966587113,0.04989665977731849,0.012208518
stage_a_ft,1,1,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9110473653693062,0.45212367276185084,0.6616945107398569,0.04998999933328888,0.018069377
stage_a_ft,1,2,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9296692512197711,0.4727105851508785,0.6879474940334129,0.04998999933328888,0.01981971
stage_a_ft,1,3,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.934639634289064,0.4894439761932596,0.6992840095465394,0.049983332222148145,0.02823016
stage_a_ft,1,4,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9339102539214627,0.4891344542372942,0.7082338902147971,0.04922994866324422,0.023502883
stage_a_ft,1,5,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9368679491122798,0.4926747037407415,0.7118138424821002,0.049916661110740716,0.018333929
stage_a_ft,1,6,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.936815067703002,0.49758045553308083,0.7082338902147971,0.049649976665111006,0.020621998
stage_a_ft,1,7,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9375273327688831,0.4991123441243799,0.7106205250596659,0.04996333088872591,0.028495805
stage_a_ft,1,8,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9394837678916064,0.5006289048297456,0.7130071599045346,0.04981665444362957,0.030103961
stage_a_ft,2,1,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.8266112470346073,0.2640727203541118,0.568019093078759,0.04994999666644443,0.024263868
stage_a_ft,2,2,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.9219034530703002,0.46031497776689617,0.6766109785202864,0.04990999399959997,0.020428495
stage_a_ft,2,3,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.931298795019111,0.48098703465578496,0.698090692124105,0.04972331488765918,0.010496785
stage_a_ft,2,4,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.9343662946662632,0.48203062503089167,0.6992840095465394,0.04990999399959997,0.029369306
