stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,8,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.9009172628214991,0.1726222728754191,0.5417661097852029,0.04996999799986666,0.08097397
stage_a_ft,1,8,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8972689766429933,0.1678845838248565,0.5381861575178998,0.049036602440162676,0.06909233
stage_a_ft,2,8,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8946693999965949,0.16646330440207316,0.535799522673031,0.04990999399959997,0.05718216
stage_a_ft,3,8,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8996510208874704,0.17417325982858384,0.5369928400954654,0.04994332955530369,0.083086826
stage_a_ft,4,2,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8988280483615376,0.1682739855553727,0.5513126491646778,0.04996333088872591,0.03571388
stage_a_ft,5,6,64,4,8,192,0.20909313175279765,8,2.0,0.2,0.0,0.1,2.0,0.0008029015070298228,8192,0.9008382957431849,0.17864620281501567,0.5447494033412887,0.04999666644442963,0.041704513
stage_a_ft,6,7,48,4,4,256,0.3232481518257668,8,2.0,0.2,0.0,0.1,2.0,0.0012898078364194318,8192,0.9025876068746667,0.1752367348558742,0.5465393794749404,0.04960330688712581,0.08383267
stage_a_ft,7,7,48,2,8,128,0.16696440125951162,8,2.0,0.2,0.0,0.1,2.0,0.0005002983438043643,4096,0.9003418028186763,0.17583012051847893,0.5405727923627685,0.04985665711047403,0.038210366
stage_a_ft,8,3,64,6,8,256,0.2010716092915446,8,2.0,0.2,0.0,0.1,2.0,0.00033775361497450577,2048,0.897737313354701,0.16975316670798796,0.5352028639618138,0.049836655777051805,0.097047016
stage_a_ft,9,4,32,5,8,192,0.03611590802176332,8,2.0,0.2,0.0,0.1,2.0,0.002053164517837489,8192,0.9019499151972104,0.17797403118481114,0.548926014319809,0.04998999933328888,0.07871964
stage_a_ft,10,4,16,3,4,128,0.0059246236541904695,8,2.0,0.2,0.0,0.1,2.0,0.0012067022763045828,1024,0.9015449498542545,0.17864684204721043,0.5483293556085919,0.04999666644442963,0.049639296
stage_a_ft,11,3,32,5,4,64,0.02263642190041475,8,2.0,0.2,0.0,0.1,2.0,0.0026767100318664788,1024,0.9002585514451958,0.17202665843089665,0.5477326968973747,0.049836655777051805,0.062402476
stage_a_ft,12,5,32,3,8,128,0.09961849795779165,8,2.0,0.2,0.0,0.1,2.0,0.0018996547949229222,1024,0.8957940851585809,0.17314522439580002,0.5525059665871122,0.04984332288819254,0.065971136
stage_a_ft,13,8,32,3,4,128,0.11262674247292898,8,2.0,0.2,0.0,0.1,2.0,0.0029532459360504092,1024,0.9001172989893838,0.17260926831553614,0.5471360381861575,0.04994999666644443,0.04923042
stage_a_ft,14,4,32,3,8,128,0.09659379013396928,8,2.0,0.2,0.0,0.1,2.0,0.0015896741166378766,1024,0.9011862604682794,0.1768797964126427,0.5471360381861575,0.04999666644442963,0.03876184
