stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,6,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8706727001194183,0.12225234188332088,0.49325153374233127,0.04985765848202938,0.047426086
stage_a_ft,1,8,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8686842656796324,0.11578118524992648,0.47300613496932514,0.049400132174266684,0.05894576
stage_a_ft,2,6,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8559220320748709,0.10018903545617663,0.4644171779141104,0.049450968430684764,0.03170083
stage_a_ft,3,8,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8656446980747405,0.11491384280628834,0.4815950920245399,0.04998474912307458,0.061036654
stage_a_ft,4,2,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8704426913992851,0.12259896358142251,0.4883435582822086,0.04990849473844746,0.036750156
stage_a_ft,5,8,64,4,8,192,0.20909313175279765,8,2.0,0.2,0.0,0.1,2.0,0.0008029015070298228,8192,0.8724958504515851,0.1255376386096288,0.49447852760736194,0.04991484927049972,0.04770354
stage_a_ft,6,5,48,4,4,256,0.3232481518257668,8,2.0,0.2,0.0,0.1,2.0,0.0012898078364194318,8192,0.8704939603876405,0.12694957712382826,0.49570552147239266,0.04995297646281328,0.03723312
stage_a_ft,7,8,48,2,8,128,0.16696440125951162,8,2.0,0.2,0.0,0.1,2.0,0.0005002983438043643,4096,0.8733543867167044,0.12388402195200632,0.4840490797546012,0.049628895328148036,0.057800356
stage_a_ft,8,4,64,6,8,256,0.2010716092915446,8,2.0,0.2,0.0,0.1,2.0,0.00033775361497450577,2048,0.8713191782428307,0.11891840043001212,0.49325153374233127,0.04978140409740227,0.035325523
stage_a_ft,9,2,32,5,8,192,0.03611590802176332,8,2.0,0.2,0.0,0.1,2.0,0.002053164517837489,8192,0.8637449210525412,0.10318457723681886,0.46809815950920247,0.049787758629454525,0.05393436
stage_a_ft,10,5,48,4,4,256,0.31282461080495,8,2.0,0.2,0.0,0.1,2.0,0.0011848502057545658,1024,0.8725857319937511,0.12077871976042309,0.48895705521472393,0.04995933099486554,0.06641614
stage_a_ft,11,3,64,4,4,256,0.12447644813396015,8,2.0,0.2,0.0,0.1,2.0,0.0012357247994060705,4096,0.8658926261854125,0.11374512872663813,0.4742331288343558,0.04995933099486554,0.02256132
stage_a_ft,12,2,48,4,8,64,0.12168838765128077,8,2.0,0.2,0.0,0.1,2.0,0.0009448367286793482,2048,0.8667112867872827,0.11775306244619765,0.4901840490797546,0.04990849473844746,0.03885129
stage_a_ft,13,2,16,3,4,256,0.39575907318282044,8,2.0,0.2,0.0,0.1,2.0,0.001346010901061256,8192,0.7164356696803522,0.02586542442861184,0.1668711656441718,0.049628895328148036,0.030225705
stage_a_ft,14,3,64,3,8,192,0.2864547383897197,8,2.0,0.2,0.0,0.1,2.0,0.0008683326910042937,8192,0.8625618182912593,0.10628343281959364,0.46748466257668714,0.04998474912307458,0.047791544
stage_a_ft,15,7,48,5,4,256,0.3485810155637361,8,2.0,0.2,0.0,0.1,2.0,0.002980868383966006,8192,0.872834426156907,0.1270367927170083,0.4920245398773006,0.04981953128971583,0.03290459
stage_a_ft,16,6,64,3,4,192,0.22607087983966856,8,2.0,0.2,0.0,0.1,2.0,0.0014264804174949867,4096,0.8692661263988936,0.12479317397570146,0.48466257668711654,0.04998474912307458,0.021222442
stage_a_ft,17,4,48,5,8,64,0.16891362889032316,8,2.0,0.2,0.0,0.1,2.0,0.0007509383564704623,1024,0.8662190288684443,0.11629550818648231,0.4840490797546012,0.04995933099486554,0.05924373
stage_a_ft,18,2,16,3,4,256,0.11320264750871512,8,2.0,0.2,0.0,0.1,2.0,0.0004789566226671463,2048,0.8526418772082973,0.10263578905624149,0.43987730061349695,0.049800467693559045,0.04966331
stage_a_ft,19,6,64,4,8,192,0.2758697700847069,8,2.0,0.2,0.0,0.1,2.0,0.00166891418674012,8192,0.8709012137702008,0.12510522355495696,0.4834355828220859,0.049838594885872604,0.03258685
stage_a_ft,20,2,48,5,4,256,0.3606705177269881,8,2.0,0.2,0.0,0.1,2.0,0.0009818784572154053,8192,0.8569312116837311,0.09079595247617984,0.45337423312883435,0.04970514971277515,0.021291325
stage_a_ft,21,2,32,4,4,64,0.3939835012078795,8,2.0,0.2,0.0,0.1,2.0,0.001901167960810419,8192,0.8585950036068792,0.10276518767475273,0.45766871165644174,0.04991484927049972,0.02853596
stage_a_ft,22,8,32,3,4,64,0.30571639822597013,8,2.0,0.2,0.0,0.1,2.0,0.0026244362525165953,8192,0.8722905873708393,0.12728614356783435,0.48895705521472393,0.04990849473844746,0.031284522
