stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,6,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.9374961552727221,0.49073063477929335,0.7118138424821002,0.049956663777585175,0.017779341
stage_a_ft,1,7,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.9292873542404816,0.48147001250993193,0.6968973747016707,0.04990332688845923,0.023770079
stage_a_ft,2,8,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.9282189715591223,0.4735930575148901,0.6909307875894988,0.04989665977731849,0.03009772
stage_a_ft,3,8,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.9324146689333785,0.4874688983008004,0.7022673031026253,0.04998999933328888,0.020337688
stage_a_ft,4,7,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.9379610908030304,0.5013474725944826,0.714200477326969,0.049623308220548036,0.017736083
stage_a_ft,5,4,64,4,8,192,0.20909313175279765,8,2.0,0.2,0.0,0.1,2.0,0.0008029015070298228,8192,0.9335411521468178,0.4824698156745961,0.7022673031026253,0.04980332022134809,0.031207694
stage_a_ft,6,3,48,4,4,256,0.3232481518257668,8,2.0,0.2,0.0,0.1,2.0,0.0012898078364194318,8192,0.9307935584727128,0.4810386646674163,0.6963007159904535,0.049883325555037,0.011081855
stage_a_ft,7,6,48,2,8,128,0.16696440125951162,8,2.0,0.2,0.0,0.1,2.0,0.0005002983438043643,4096,0.9350192498911224,0.4934344660265739,0.7004773269689738,0.049783318887925865,0.017716166
stage_a_ft,8,7,64,6,8,256,0.2010716092915446,8,2.0,0.2,0.0,0.1,2.0,0.00033775361497450577,2048,0.9376783671019596,0.4961937888274943,0.7082338902147971,0.04986999133275552,0.024606094
stage_a_ft,9,6,32,5,8,192,0.03611590802176332,8,2.0,0.2,0.0,0.1,2.0,0.002053164517837489,8192,0.935713689584079,0.48883985596841784,0.7088305489260143,0.049663310887392495,0.032388043
stage_a_ft,10,2,16,3,4,128,0.0059246236541904695,8,2.0,0.2,0.0,0.1,2.0,0.0012067022763045828,1024,0.9364765009791425,0.48759463442860296,0.7028639618138425,0.04994332955530369,0.031812165
stage_a_ft,11,6,32,2,4,64,0.09429756956444732,8,2.0,0.2,0.0,0.1,2.0,0.0027410271467837198,1024,0.9370374572306411,0.4959108461031845,0.711217183770883,0.04984998999933329,0.03307171
stage_a_ft,12,3,32,3,4,64,0.10679642917814776,8,2.0,0.2,0.0,0.1,2.0,0.0019153294649452573,1024,0.936336549326041,0.49066499924403645,0.6968973747016707,0.04996999799986666,0.015188451
stage_a_ft,13,6,32,3,4,64,0.3862778301767895,8,2.0,0.2,0.0,0.1,2.0,0.002941104708207641,2048,0.9366697079725761,0.49290716470726104,0.704653937947494,0.04994332955530369,0.018940033
stage_a_ft,14,7,32,2,4,64,0.10808098104348103,8,2.0,0.2,0.0,0.1,2.0,0.0016696096161072814,4096,0.9359205530169791,0.49517632122585375,0.7130071599045346,0.04953663577571838,0.041510046
stage_a_ft,15,3,32,3,4,128,0.10205106329505394,8,2.0,0.2,0.0,0.1,2.0,0.0013857256891936856,4096,0.9328604981780011,0.4865239351204501,0.6939140811455847,0.049783318887925865,0.014864878
