stage,trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val,aeq_fpr_parity_age_test,aeq_fpr_parity_income_test,aeq_fpr_parity_employment_status_test,aeq_fpr_parity_age_val,aeq_fpr_parity_income_val,aeq_fpr_parity_employment_status_val,attribute_n_distinct_groups,attribute_is_degenerate,aeq_attribute_n_distinct_groups_age_test,aeq_attribute_n_distinct_groups_income_test,aeq_attribute_n_distinct_groups_employment_status_test,aeq_attribute_n_distinct_groups_age_val,aeq_attribute_n_distinct_groups_income_val,aeq_attribute_n_distinct_groups_employment_status_val,aeq_attribute_is_degenerate_age_test,aeq_attribute_is_degenerate_income_test,aeq_attribute_is_degenerate_employment_status_test,aeq_attribute_is_degenerate_age_val,aeq_attribute_is_degenerate_income_val,aeq_attribute_is_degenerate_employment_status_val
stage_a_ft,0,0.3831070889894418,0.13620098825077082,0.017779340967535973,0.04605053970379048,0.7118138424821002,0.049956663777585175,0.1425439399693241,0.3645694770322958,0.25204098639575895,0.13620098825077082,0.31944339345020395,0.27064636621165494,0.1425439399693241,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,1,0.39291101055806926,0.13736207361679625,0.023770079016685486,0.047665467324910046,0.6968973747016707,0.04990332688845923,0.14537912687709048,0.43126732070579105,0.20688872481405784,0.13736207361679625,0.3810699785525225,0.19154396670931406,0.14537912687709048,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,2,0.3842383107088988,0.12202176301704888,0.03009771928191185,0.048305581122918585,0.6909307875894988,0.04989665977731849,0.11596829562264298,0.4528020907337866,0.2112266949284107,0.12202176301704888,0.40956140284409986,0.2047394686695809,0.11596829562264298,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,3,0.39555052790346895,0.09639426486467524,0.02033768780529499,0.045389507154213034,0.7022673031026253,0.04998999933328888,0.10123786342275794,0.37708658522071525,0.2197706883202763,0.09639426486467524,0.3489885638390043,0.2120164187010345,0.10123786342275794,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,4,0.4340120663650074,0.07868724220438746,0.017736082896590233,0.052945360220902016,0.714200477326969,0.049623308220548036,0.07292400388683297,0.3646515494112006,0.25840588389785746,0.07868724220438746,0.32728232151413966,0.2527308738023617,0.07292400388683297,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,5,0.3401206636500753,0.20608675630871248,0.031207693740725517,0.038988369174127686,0.7022673031026253,0.04980332022134809,0.2522808719879619,0.39593433034799563,0.30271147562549344,0.20608675630871248,0.3700605068515741,0.30336211240605443,0.2522808719879619,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,6,0.39177978883861225,0.0824946323134729,0.011081854812800884,0.04422224081666806,0.6963007159904535,0.049883325555037,0.0842889392624603,0.3791224404725159,0.24329576782297077,0.0824946323134729,0.33824705954348805,0.23773124943710366,0.0842889392624603,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,7,0.38914027149321256,0.11124642713980794,0.017716165632009506,0.043808049535603716,0.7004773269689738,0.049783318887925865,0.12080249730184724,0.4130865896053967,0.22340132805743776,0.11124642713980794,0.35739959270290783,0.24939242999804015,0.12080249730184724,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,8,0.38235294117647045,0.09247981359653774,0.024606093764305115,0.04343987950799096,0.7082338902147971,0.04986999133275552,0.10295284846433071,0.32448476530548986,0.22560521239213954,0.09247981359653774,0.2944514285673373,0.24664618091253224,0.10295284846433071,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,9,0.40761689291101044,0.1352079530208723,0.03238804265856743,0.05100828382562129,0.7088305489260143,0.049663310887392495,0.12589439948608336,0.4380466294903851,0.23822592091336706,0.1352079530208723,0.37970931921237067,0.2432604422139804,0.12589439948608336,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
