stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,8,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8747744725894335,0.11880410548234274,0.5012269938650307,0.0499339128666565,0.04622883
stage_a_ft,1,8,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8861967283594266,0.14559879366652312,0.5349693251533743,0.0499339128666565,0.044294238
stage_a_ft,2,8,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.8447921393580847,0.10246253153102973,0.4619631901840491,0.04985765848202938,0.030078111
stage_a_ft,3,6,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8824684425361615,0.12943427212552847,0.5226993865030675,0.049838594885872604,0.040841773
stage_a_ft,4,6,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8871678178115897,0.14371345613041275,0.5288343558282208,0.04999110365512684,0.037098344
stage_a_ft,5,7,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.8851094601283132,0.13840739327093454,0.5239263803680981,0.04997204005897006,0.03982306
stage_a_ft,6,7,32,3,4,64,0.3759689660746642,8,2.0,0.2,0.0,0.1,2.0,0.000961571767993819,1024,0.8854926169693919,0.13978297976043969,0.5269938650306748,0.04999110365512684,0.047210664
stage_a_ft,7,7,32,4,4,128,0.15091543705314947,8,2.0,0.2,0.0,0.1,2.0,0.00045238999939350587,4096,0.8830068331881538,0.13264443451075109,0.5134969325153375,0.04997204005897006,0.04327843
stage_a_ft,8,6,48,3,4,192,0.1055047847647308,8,2.0,0.2,0.0,0.1,2.0,0.0019779202873020305,8192,0.8860857384652379,0.13345489933735855,0.5226993865030675,0.04994662193076102,0.054231178
stage_a_ft,9,3,32,4,4,256,0.3979807989522047,8,2.0,0.2,0.0,0.1,2.0,0.0010893815595882357,1024,0.8817295332607904,0.13352853340623483,0.5159509202453988,0.04997204005897006,0.065639414
stage_a_ft,10,4,64,2,8,256,0.02488048001417459,8,2.0,0.2,0.0,0.1,2.0,0.0006108274954825402,2048,0.8858711619016253,0.13819601616190474,0.5263803680981595,0.04995297646281328,0.041705627
stage_a_ft,11,8,48,6,8,192,0.23604292726852405,8,2.0,0.2,0.0,0.1,2.0,0.0005804031365253968,2048,0.8874697438507623,0.1457742939169655,0.5331288343558283,0.04992120380255198,0.06234962
stage_a_ft,12,3,48,5,8,64,0.27383937732108043,8,2.0,0.2,0.0,0.1,2.0,0.0006233408768473171,2048,0.8792340364018785,0.1320904145330941,0.5024539877300613,0.04998474912307458,0.027444435
stage_a_ft,13,6,48,5,8,256,0.2323451810690283,8,2.0,0.2,0.0,0.1,2.0,0.0006210116195084849,2048,0.886323918411863,0.14163967930607566,0.5355828220858896,0.0499339128666565,0.037256856
stage_a_ft,14,3,64,5,8,256,0.26592223887372113,8,2.0,0.2,0.0,0.1,2.0,0.0013911504356262686,4096,0.8838836085196575,0.13627151467992935,0.507361963190184,0.049641604392252556,0.02505643
stage_a_ft,15,2,16,3,8,256,0.3481207929273178,8,2.0,0.2,0.0,0.1,2.0,0.0007517999327754102,2048,0.5190365250705392,0.016258583791408654,0.14969325153374233,0.04974963143714097,0.05072351
stage_a_ft,16,3,48,2,8,256,0.22786578513392292,8,2.0,0.2,0.0,0.1,2.0,0.00046944139965448384,2048,0.88239151371347,0.12831017251477891,0.5122699386503068,0.04998474912307458,0.06287648
stage_a_ft,17,6,48,5,8,256,0.08969226584149391,8,2.0,0.2,0.0,0.1,2.0,0.0012756079029387392,2048,0.8868416899718155,0.14454713580865142,0.5251533742331288,0.04995297646281328,0.038793143
stage_a_ft,18,2,48,3,8,256,0.34264122447819206,8,2.0,0.2,0.0,0.1,2.0,0.00030732532384757035,4096,0.8512034976903811,0.09170911187087089,0.4325153374233129,0.04979411316150679,0.028601792
stage_a_ft,19,2,64,5,8,64,0.16779331537323233,8,2.0,0.2,0.0,0.1,2.0,0.0008684236928090883,8192,0.8713249791898822,0.11800523313190439,0.48466257668711654,0.04971785877687967,0.025796343
stage_a_ft,20,2,16,4,8,256,0.31373074817275703,8,2.0,0.2,0.0,0.1,2.0,0.0007055078199118211,2048,0.8614177237801092,0.0919412657977378,0.48466257668711654,0.0499339128666565,0.050066136
stage_a_ft,21,2,48,6,8,192,0.23063632152824382,8,2.0,0.2,0.0,0.1,2.0,0.0005256669651970301,2048,0.8721178454596519,0.11873928600413988,0.48282208588957054,0.04984494941792486,0.03502301
stage_a_ft,22,2,48,6,8,192,0.2503597095225147,8,2.0,0.2,0.0,0.1,2.0,0.0006019953947977924,2048,0.8742150885907535,0.12254592526133878,0.49570552147239266,0.04992120380255198,0.035608795
stage_a_ft,23,7,48,6,8,192,0.2009839714332638,8,2.0,0.2,0.0,0.1,2.0,0.000745221511109352,2048,0.8846907140092559,0.14032457298286785,0.5288343558282208,0.049864013014081644,0.026697991
stage_a_ft,24,2,48,5,8,256,0.2824003934798834,8,2.0,0.2,0.0,0.1,2.0,0.0005330780326387908,2048,0.873329592346243,0.10897560183329022,0.48957055214723927,0.0499339128666565,0.035953905
stage_a_ft,25,2,48,6,8,192,0.23754855553265164,8,2.0,0.2,0.0,0.1,2.0,0.001025948136442684,2048,0.8809183597011327,0.1276241711748759,0.5,0.049616186264043516,0.032865394
stage_a_ft,26,2,48,4,8,64,0.32567131280311573,8,2.0,0.2,0.0,0.1,2.0,0.0004141571304840606,2048,0.8688814783869501,0.12391283891247659,0.4950920245398773,0.049825885821768084,0.04684087
stage_a_ft,27,2,48,5,8,128,0.12098115261113379,8,2.0,0.2,0.0,0.1,2.0,0.0007621490215524578,8192,0.8539952034588615,0.09718510580894262,0.4619631901840491,0.049838594885872604,0.05556007
stage_a_ft,28,2,64,6,8,256,0.20727789896909016,8,2.0,0.2,0.0,0.1,2.0,0.0005107535944381458,4096,0.8724308081124685,0.11811340204610263,0.49754601226993866,0.049787758629454525,0.050967738
stage_a_ft,29,2,16,2,4,128,0.2962125484266341,8,2.0,0.2,0.0,0.1,2.0,0.0012205122493561139,8192,0.7958819416050472,0.04585887100024386,0.2907975460122699,0.04994026739870876,0.014508765
stage_a_ft,30,2,16,5,8,192,0.25894401013328083,8,2.0,0.2,0.0,0.1,2.0,0.0015132088289986113,2048,0.858877565866479,0.10181226396285648,0.454601226993865,0.049787758629454525,0.04396288
stage_a_ft,31,2,48,6,8,192,0.171927667469164,8,2.0,0.2,0.0,0.1,2.0,0.000831089280896759,2048,0.8820626725274944,0.13184308151621277,0.5141104294478528,0.049825885821768084,0.034149885
stage_a_ft,32,4,48,6,8,192,0.1471099092849842,8,2.0,0.2,0.0,0.1,2.0,0.0006500229245778698,2048,0.8860744991303259,0.13775876843539106,0.5226993865030675,0.04974327690508871,0.03389232
stage_a_ft,33,2,48,6,8,192,0.06445334115036727,8,2.0,0.2,0.0,0.1,2.0,0.0008695474815438457,2048,0.8786619433390936,0.12883967504731408,0.5147239263803681,0.04991484927049972,0.031283524
stage_a_ft,34,2,48,5,8,192,0.17972539331235898,8,2.0,0.2,0.0,0.1,2.0,0.0011061411007915205,2048,0.8811372304469879,0.13026253520317244,0.49693251533742333,0.04999745818717909,0.05192303
stage_a_ft,35,1,48,6,8,192,0.22359203902276067,8,2.0,0.2,0.0,0.1,2.0,0.0003805833193208283,1024,0.8749613991416471,0.12178053862331069,0.49938650306748467,0.04989578567434294,0.056434102
stage_a_ft,36,2,32,6,4,256,0.19436816509493576,8,2.0,0.2,0.0,0.1,2.0,0.0009052891616651748,2048,0.8758726526826417,0.11575189792876676,0.4950920245398773,0.04989578567434294,0.046310622
stage_a_ft,37,6,48,4,8,128,0.13169814690108836,8,2.0,0.2,0.0,0.1,2.0,0.0005593973038115471,1024,0.8841405343358367,0.1258982384122868,0.5239263803680981,0.04997839459102232,0.033322167
