stage,trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val,aeq_fpr_parity_age_test,aeq_fpr_parity_income_test,aeq_fpr_parity_employment_status_test,aeq_fpr_parity_age_val,aeq_fpr_parity_income_val,aeq_fpr_parity_employment_status_val,attribute_n_distinct_groups,attribute_is_degenerate,aeq_attribute_n_distinct_groups_age_test,aeq_attribute_n_distinct_groups_income_test,aeq_attribute_n_distinct_groups_employment_status_test,aeq_attribute_n_distinct_groups_age_val,aeq_attribute_n_distinct_groups_income_val,aeq_attribute_n_distinct_groups_employment_status_val,aeq_attribute_is_degenerate_age_test,aeq_attribute_is_degenerate_income_test,aeq_attribute_is_degenerate_employment_status_test,aeq_attribute_is_degenerate_age_val,aeq_attribute_is_degenerate_income_val,aeq_attribute_is_degenerate_employment_status_val
stage_a_ft,0,0.6851432880844643,0.08864188077457913,0.018153566867113113,0.043874989540624215,0.7237470167064439,0.04994332955530369,0.10063496230046824,0.3146294522597065,0.31822575870676295,0.08864188077457913,0.31109921558233034,0.29645943863414803,0.10063496230046824,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,1,0.7051282051282048,0.09406869954896804,0.017659379169344902,0.05131369759852732,0.6951073985680191,0.04999666644442963,0.10833674353897194,0.3889605302078262,0.28019971282592043,0.09406869954896804,0.38112085170273996,0.2672783513499884,0.10833674353897194,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,2,0.1527149321266968,0.24837510646618535,0.015738610178232193,0.03173374613003096,0.22852028639618138,0.04972331488765918,0.21722569423633548,0.921084751684359,0.24837510646618535,0.24907257667182547,0.7692152268996459,0.26213969129668113,0.21722569423633548,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,3,0.6783559577677223,0.1896803822654068,0.018328621983528137,0.04576186093213957,0.7016706443914081,0.04992332822188146,0.18607767202914124,0.43245855909986897,0.28465050649692936,0.1896803822654068,0.4441614373639998,0.2921603709418276,0.18607767202914124,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,4,0.7187028657616891,0.04884836972214454,0.03255563601851463,0.05063174629738097,0.7380668257756563,0.04996999799986666,0.04097729105157812,0.3632055694244346,0.25939569159274684,0.04884836972214454,0.3508873314933367,0.26178081332377373,0.04097729105157812,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,5,0.6998491704374055,0.13438975950264748,0.01289879810065031,0.04712576353443226,0.7237470167064439,0.04970331355423695,0.13900562068783848,0.30339903542726687,0.3032606930884073,0.13438975950264748,0.28683754677714984,0.2803593000999823,0.13900562068783848,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,6,0.6847662141779787,0.11068841069697072,0.02307947352528572,0.04297129947284746,0.711217183770883,0.049836655777051805,0.1492220933893133,0.4158146113617001,0.3334784406644224,0.11068841069697072,0.3948138060200267,0.320550491803425,0.1492220933893133,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,7,0.6979638009049771,0.07933263699228942,0.016750741750001907,0.04761526232114467,0.7231503579952268,0.049223281552103475,0.07892567921275573,0.3745370388950615,0.19658498662035928,0.07933263699228942,0.35553926135115116,0.2010907163937083,0.07892567921275573,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,8,0.6998491704374055,0.10124990268326814,0.03169351443648338,0.04449418458706384,0.7315035799522673,0.04996999799986666,0.10229755649118641,0.35563628263556113,0.3532796020632411,0.10124990268326814,0.3658504715589867,0.33269255588688806,0.10229755649118641,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,9,0.6202865761689289,0.3832643909229527,0.021565668284893036,0.049297129947284746,0.6258949880668258,0.04996999799986666,0.4394202623597795,0.5058090998655932,0.43902051697781064,0.3832643909229527,0.4730914110919199,0.5181467798742918,0.4394202623597795,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
