stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,7,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9249367121690371,0.4630604410074243,0.6903341288782816,0.04994999666644443,0.038276233
stage_a_ft,1,4,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9374905980207751,0.492847986471807,0.7159904534606205,0.04961664110940729,0.022740662
stage_a_ft,2,7,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.9306660201372217,0.4818077887407178,0.6998806682577565,0.049983332222148145,0.014329781
stage_a_ft,3,7,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.9397766812139107,0.4992730201634715,0.714200477326969,0.04922994866324422,0.013998986
stage_a_ft,4,8,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.9402005360421004,0.5019322950427378,0.7153937947494033,0.04993666244416294,0.03287047
stage_a_ft,5,7,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.9372447144845455,0.4939101705898242,0.7165871121718377,0.049623308220548036,0.018625114
stage_a_ft,6,7,32,3,4,64,0.3759689660746642,8,2.0,0.2,0.0,0.1,2.0,0.000961571767993819,1024,0.935279832100183,0.4885282574430036,0.7106205250596659,0.049863324221614776,0.032985006
stage_a_ft,7,8,32,4,4,128,0.15091543705314947,8,2.0,0.2,0.0,0.1,2.0,0.00045238999939350587,4096,0.9342009296244251,0.4857936676183187,0.7016706443914081,0.04949663310887392,0.020073906
stage_a_ft,8,3,48,3,4,192,0.1055047847647308,8,2.0,0.2,0.0,0.1,2.0,0.0019779202873020305,8192,0.9331284874043313,0.47680116953846857,0.6963007159904535,0.049689979331955465,0.021311883
stage_a_ft,9,8,32,4,4,256,0.3979807989522047,8,2.0,0.2,0.0,0.1,2.0,0.0010893815595882357,1024,0.9370581069764238,0.4959865674157792,0.7225536992840096,0.04994332955530369,0.013750536
stage_a_ft,10,3,64,5,4,256,0.01327506445901172,8,2.0,0.2,0.0,0.1,2.0,0.0013372594410261682,4096,0.9346051590392424,0.4805732146936339,0.7022673031026253,0.04994332955530369,0.017605528
stage_a_ft,11,2,32,5,8,128,0.2561405305659475,8,2.0,0.2,0.0,0.1,2.0,0.0003119500172941768,1024,0.9251352258010518,0.4617367827480398,0.6784009546539379,0.04984998999933329,0.020139452
stage_a_ft,12,3,32,5,8,64,0.22830976209304357,8,2.0,0.2,0.0,0.1,2.0,0.000571214167406743,1024,0.936085267657462,0.481244563084509,0.7004773269689738,0.04984998999933329,0.018977588
stage_a_ft,13,4,16,4,8,256,0.06463276525316558,8,2.0,0.2,0.0,0.1,2.0,0.0013060751228462127,1024,0.9383279092114494,0.48766857521127754,0.7082338902147971,0.049636642442829525,0.029028554
stage_a_ft,14,7,64,5,4,128,0.38937264520597464,8,2.0,0.2,0.0,0.1,2.0,0.0006170029869904906,1024,0.9390893183650589,0.497899982226408,0.7213603818615751,0.049623308220548036,0.051231503
stage_a_ft,15,2,64,3,4,128,0.3987960880729528,8,2.0,0.2,0.0,0.1,2.0,0.0005971848382918501,1024,0.9279591551131252,0.476588015894599,0.6903341288782816,0.0497899859990666,0.008963859
stage_a_ft,16,2,64,6,4,256,0.3444401539212899,8,2.0,0.2,0.0,0.1,2.0,0.0011603669537342976,1024,0.9282126903130058,0.4674141551094435,0.6933174224343676,0.04980332022134809,0.021138513
stage_a_ft,17,2,64,5,4,64,0.2606383834118585,8,2.0,0.2,0.0,0.1,2.0,0.0006714284449450308,4096,0.9241987472991438,0.45619277557434146,0.6706443914081146,0.049883325555037,0.019408654
stage_a_ft,18,2,64,4,4,256,0.3378003439454014,8,2.0,0.2,0.0,0.1,2.0,0.0004598504152358913,8192,0.8889770256760156,0.38568820137721366,0.6324582338902148,0.049983332222148145,0.007342107
stage_a_ft,19,2,16,4,4,128,0.3964391824277524,8,2.0,0.2,0.0,0.1,2.0,0.000999763124364012,1024,0.9026023691953369,0.36433387626610564,0.6157517899761337,0.04946996466431095,0.023167014
stage_a_ft,20,8,64,3,4,256,0.28113662634175746,8,2.0,0.2,0.0,0.1,2.0,0.0016826892109369908,1024,0.9385263651626098,0.4953557744731459,0.7177804295942721,0.04972998199879992,0.043074504
stage_a_ft,21,3,64,3,4,256,0.2754028266376054,8,2.0,0.2,0.0,0.1,2.0,0.0016780936815473859,1024,0.9377247126737646,0.4865353920587921,0.704653937947494,0.04965664377625175,0.016627917
stage_a_ft,22,1,64,3,4,256,0.34369947307534104,8,2.0,0.2,0.0,0.1,2.0,0.0023858941949055907,1024,0.9315212979194635,0.47270119438204916,0.6945107398568019,0.04968331222081472,0.0152494805
stage_a_ft,23,3,64,4,4,256,0.3996945992015454,8,2.0,0.2,0.0,0.1,2.0,0.0015093710400354342,1024,0.934653939140891,0.4799562068243912,0.7136038186157518,0.04994999666644443,0.04698347
stage_a_ft,24,1,64,2,4,256,0.3219028904418769,8,2.0,0.2,0.0,0.1,2.0,0.0020971389697998044,1024,0.9309897211126725,0.47465586201430476,0.7016706443914081,0.04965664377625175,0.021907363
stage_a_ft,25,8,64,3,4,128,0.36430722759431444,8,2.0,0.2,0.0,0.1,2.0,0.0011412817686865548,1024,0.9383639159873984,0.49267150340234717,0.7225536992840096,0.04996999799986666,0.046141867
stage_a_ft,26,2,32,5,4,128,0.37020293531173015,8,2.0,0.2,0.0,0.1,2.0,0.000822200843465846,2048,0.9051894629093014,0.43144146883144896,0.6509546539379475,0.04989665977731849,0.022237321
stage_a_ft,27,2,16,4,4,128,0.34725557886794683,8,2.0,0.2,0.0,0.1,2.0,0.0010929577113018383,4096,0.6643202506260959,0.02775864539748079,0.19272076372315036,0.04937662510834056,0.009312084
stage_a_ft,28,2,64,3,4,128,0.37341687380713634,8,2.0,0.2,0.0,0.1,2.0,0.0005863927235894864,8192,0.9041665227960305,0.4021192947397984,0.6181384248210023,0.04986999133275552,0.020360168
stage_a_ft,29,2,16,2,4,128,0.305294497552881,8,2.0,0.2,0.0,0.1,2.0,0.0007273238272507814,8192,0.5476959760722314,0.013097255111133578,0.059665871121718374,0.048996599773318224,0.03140689
stage_a_ft,30,2,32,5,4,128,0.3267656998298213,8,2.0,0.2,0.0,0.1,2.0,0.0012442079050267467,1024,0.9169320556135723,0.4367585610199693,0.6778042959427207,0.04958330555370358,0.032124244
stage_a_ft,31,5,64,3,4,64,0.281976417746553,8,2.0,0.2,0.0,0.1,2.0,0.0029547758631513006,1024,0.9330921285762726,0.49794109694634947,0.7195704057279236,0.049983332222148145,0.015482563
stage_a_ft,32,2,64,2,4,64,0.37757638447153735,8,2.0,0.2,0.0,0.1,2.0,0.0005067728718563054,1024,0.932504432276392,0.46220442486456437,0.6909307875894988,0.049956663777585175,0.0108735245
stage_a_ft,33,1,64,2,4,64,0.24265055146660497,8,2.0,0.2,0.0,0.1,2.0,0.00292405485571576,1024,0.930721274417499,0.4685399047526372,0.6897374701670644,0.04961664110940729,0.018425904
stage_a_ft,34,2,64,3,4,64,0.29289932879934155,8,2.0,0.2,0.0,0.1,2.0,0.0008150270851466413,2048,0.9282571642405437,0.47494670130741445,0.6867541766109785,0.04999666644442963,0.046971772
stage_a_ft,35,3,48,4,4,192,0.313654980561941,8,2.0,0.2,0.0,0.1,2.0,0.0015217812852764097,1024,0.9379899352080909,0.4918202698461177,0.7070405727923628,0.049689979331955465,0.023514824
stage_a_ft,36,2,64,6,8,64,0.3634955336416342,8,2.0,0.2,0.0,0.1,2.0,0.0010422545255186302,2048,0.9317845274808297,0.46805802254233003,0.6909307875894988,0.04981665444362957,0.024925474
stage_a_ft,37,2,48,3,4,192,0.1949511604232082,8,2.0,0.2,0.0,0.1,2.0,0.0008963939374798651,1024,0.9311719508428644,0.46683543851203835,0.6915274463007159,0.04980332022134809,0.02213322
stage_a_ft,38,1,32,4,4,128,0.35727574996787137,8,2.0,0.2,0.0,0.1,2.0,0.0029012240967013696,1024,0.9334957414026488,0.4739927767790592,0.6968973747016707,0.04982998866591106,0.043515347
stage_a_ft,39,2,32,2,8,64,0.3845091643310674,8,2.0,0.2,0.0,0.1,2.0,0.0003814105083285886,1024,0.9226544756921742,0.45410841621340997,0.6742243436754176,0.04982998866591106,0.009941181
stage_a_ft,40,4,64,3,4,128,0.32264751970980987,8,2.0,0.2,0.0,0.1,2.0,0.0021514982446196795,4096,0.9383251783213551,0.4987857441906387,0.7177804295942721,0.04999666644442963,0.027898014
stage_a_ft,41,1,64,3,4,256,0.2812555814438939,8,2.0,0.2,0.0,0.1,2.0,0.0017806395094537247,1024,0.9304091235358412,0.47827058811355705,0.6897374701670644,0.04958997266484432,0.052085303
stage_a_ft,42,2,64,3,4,256,0.21738452864944635,8,2.0,0.2,0.0,0.1,2.0,0.001436877637209002,1024,0.9359312040850456,0.48678688451394647,0.7088305489260143,0.04976331755450363,0.020618139
stage_a_ft,43,3,64,4,4,192,0.15197137786482187,8,2.0,0.2,0.0,0.1,2.0,0.0018793943041331626,1024,0.9364280828745781,0.48778763007219283,0.7094272076372315,0.04999666644442963,0.049390018
stage_a_ft,44,2,48,3,4,256,0.19657812920040174,8,2.0,0.2,0.0,0.1,2.0,0.002379542071979197,1024,0.9284470098324773,0.484746224075013,0.7040572792362768,0.04994999666644443,0.052602664
stage_a_ft,45,2,64,5,4,128,0.2936964875652107,8,2.0,0.2,0.0,0.1,2.0,0.001615533633861724,1024,0.9325689333942867,0.47219695390548033,0.6891408114558473,0.049489965997733185,0.033814367
stage_a_ft,46,2,32,2,8,256,0.10964080002740427,8,2.0,0.2,0.0,0.1,2.0,0.0011707363580667493,2048,0.932232057316152,0.4650234993784016,0.6951073985680191,0.049636642442829525,0.043524724
stage_a_ft,47,2,64,6,4,64,0.35721326324268476,8,2.0,0.2,0.0,0.1,2.0,0.0006648297241643041,1024,0.9301601252334881,0.47903930482244905,0.6813842482100239,0.04970998066537769,0.016857348
stage_a_ft,48,2,32,3,4,128,0.2591207291141815,8,2.0,0.2,0.0,0.1,2.0,0.0009521985254865818,8192,0.8863569643704171,0.40802847495503963,0.6318615751789977,0.049716647776518436,0.008416455
stage_a_ft,49,7,16,3,8,256,0.3870963893705784,8,2.0,0.2,0.0,0.1,2.0,0.0012890265114098632,1024,0.9368932610622729,0.49665242708515633,0.720763723150358,0.04989665977731849,0.056406017
stage_a_ft,50,2,16,4,8,192,0.382205892311492,8,2.0,0.2,0.0,0.1,2.0,0.0013572948331047419,4096,0.8582833684536806,0.30252503133538133,0.5853221957040573,0.049489965997733185,0.010382081
stage_a_ft,51,2,16,3,8,256,0.39040102060127096,8,2.0,0.2,0.0,0.1,2.0,0.0012475865381700866,1024,0.923031179405596,0.4472425645884974,0.6885441527446301,0.04913660910727382,0.011506365
stage_a_ft,52,2,16,3,8,256,0.33283210930610274,8,2.0,0.2,0.0,0.1,2.0,0.0011351176762399386,1024,0.9299985193921441,0.4661321422798612,0.6974940334128878,0.049916661110740716,0.012241224
stage_a_ft,53,2,16,3,8,256,0.3569386796341698,8,2.0,0.2,0.0,0.1,2.0,0.001394455145775791,1024,0.9201595559831276,0.442352747815246,0.6754176610978521,0.049889992666177746,0.019346708
stage_a_ft,54,7,64,4,8,256,0.3980767494659857,8,2.0,0.2,0.0,0.1,2.0,0.000869711078445461,1024,0.9387943722898949,0.49998895005777455,0.7177804295942721,0.0493366224414961,0.02791009
stage_a_ft,55,2,64,3,4,256,0.2742400292269593,8,2.0,0.2,0.0,0.1,2.0,0.00106526619266239,1024,0.9308711372325378,0.4882919398538623,0.701073985680191,0.04958330555370358,0.008490528
stage_a_ft,56,2,16,4,4,256,0.34503754321929664,8,2.0,0.2,0.0,0.1,2.0,0.0025494021647384578,1024,0.9293124334780632,0.46526022570117237,0.6897374701670644,0.049956663777585175,0.016720023
stage_a_ft,57,2,48,5,8,128,0.3701832527571769,8,2.0,0.2,0.0,0.1,2.0,0.0012556734891853926,1024,0.9337504839224763,0.4835528507669886,0.6909307875894988,0.0495233015534369,0.017389184
stage_a_ft,58,4,64,3,4,64,0.23493476530417362,8,2.0,0.2,0.0,0.1,2.0,0.0015969160405036095,1024,0.9386760688580512,0.4915428254385276,0.7165871121718377,0.049983332222148145,0.065266006
stage_a_ft,59,2,32,2,4,256,0.310786608651931,8,2.0,0.2,0.0,0.1,2.0,0.0007177970157602172,8192,0.8949252106067215,0.36851352378638413,0.6079952267303103,0.04955663710914061,0.019057758
stage_a_ft,60,2,64,4,4,128,0.18305988398742346,8,2.0,0.2,0.0,0.1,2.0,0.0017651227396070555,1024,0.9318241820735542,0.48394774576913285,0.6968973747016707,0.04990332688845923,0.028354293
stage_a_ft,61,2,64,3,4,128,0.3200176101000606,8,2.0,0.2,0.0,0.1,2.0,0.0021288283257081706,4096,0.9275149130864889,0.4582500437307835,0.6801909307875895,0.049863324221614776,0.03658505
stage_a_ft,62,3,64,3,4,128,0.33308083711741737,8,2.0,0.2,0.0,0.1,2.0,0.002111728839755218,4096,0.9349082023129305,0.4784063569357333,0.7088305489260143,0.049916661110740716,0.021900509
stage_a_ft,63,2,64,3,4,128,0.3817654257829644,8,2.0,0.2,0.0,0.1,2.0,0.0026812920350175714,4096,0.931494736880629,0.47661427362293673,0.7040572792362768,0.04955663710914061,0.015718414
stage_a_ft,64,5,64,3,4,128,0.018506324102900068,8,2.0,0.2,0.0,0.1,2.0,0.002353851497254332,4096,0.9378984553624179,0.49246421417567204,0.7189737470167065,0.049956663777585175,0.027939029
stage_a_ft,65,2,64,3,4,128,0.04853944900211057,8,2.0,0.2,0.0,0.1,2.0,0.0027259149093124446,4096,0.9315077588307001,0.4782392751211537,0.7004773269689738,0.04992332822188146,0.02487272
stage_a_ft,66,2,16,2,4,64,0.12305182381007873,8,2.0,0.2,0.0,0.1,2.0,0.0019092285308482744,2048,0.9262522772003415,0.45228934561182393,0.6801909307875895,0.04994332955530369,0.014763405
stage_a_ft,67,1,64,3,4,256,0.0698911942295761,8,2.0,0.2,0.0,0.1,2.0,0.0023441672379517905,1024,0.9308634517559722,0.4643921166954414,0.698090692124105,0.04973664910994066,0.01131466
