stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,1,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.6289273561591244,0.013697706685559337,0.05337423312883435,0.04969244064867063,0.02704268
stage_a_ft,0,2,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.7247714629583022,0.02751140542738361,0.18650306748466258,0.04992120380255198,0.012780684
stage_a_ft,0,3,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8037796054919375,0.04977339982102999,0.34294478527607364,0.04979411316150679,0.025995048
stage_a_ft,0,4,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8395912803968846,0.07408277004533281,0.3987730061349693,0.04975598596919323,0.039508104
stage_a_ft,0,5,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.842867659579843,0.0855899868485295,0.4030674846625767,0.04984494941792486,0.06693828
stage_a_ft,0,6,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8603510298084471,0.09428938754598518,0.43742331288343556,0.049412841238371204,0.061260264
stage_a_ft,0,7,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.863173709047575,0.09828089494861149,0.4312883435582822,0.049902140206395204,0.059312027
stage_a_ft,0,8,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8629410980880889,0.10466420783120978,0.4429447852760736,0.04994662193076102,0.06813724
stage_a_ft,1,1,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8620874407781004,0.09476403819987209,0.4441717791411043,0.04971150424482741,0.039971497
stage_a_ft,1,2,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8724286580974827,0.11547789797348619,0.46503067484662575,0.04995933099486554,0.041578937
stage_a_ft,1,3,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8757823579009678,0.11991280957876849,0.4668711656441718,0.04998474912307458,0.05679742
stage_a_ft,1,4,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8765597198922271,0.12633362432377748,0.4766871165644172,0.049800467693559045,0.026299478
stage_a_ft,1,5,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8786022672658484,0.1280367048307314,0.46748466257668714,0.04995297646281328,0.054555114
stage_a_ft,1,6,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.878059950838533,0.12752855630919493,0.4717791411042945,0.04997204005897006,0.04168026
stage_a_ft,1,7,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8786045517785983,0.1265956450036718,0.47730061349693254,0.04994026739870876,0.051366158
stage_a_ft,1,8,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8809855520552349,0.12835285000970645,0.4644171779141104,0.04973056784098419,0.043569658
stage_a_ft,2,1,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.5738388476636997,0.013523012896328169,0.06687116564417178,0.04866300645620456,0.006723136
stage_a_ft,2,2,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.6774173497593698,0.024925625855001913,0.19141104294478528,0.04950180468710284,0.0065557435
stage_a_ft,2,3,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.7850216564791432,0.04715884432144473,0.296319018404908,0.049679731584566116,0.038816992
stage_a_ft,2,4,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.8299191933533621,0.06270961138444953,0.37055214723926383,0.04995297646281328,0.041483272
stage_a_ft,2,5,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.8426322767968667,0.08178188190862107,0.403680981595092,0.04984494941792486,0.089220405
stage_a_ft,2,6,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.8364898574651172,0.08580566995549826,0.3901840490797546,0.04972421330893193,0.04773468
stage_a_ft,2,7,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.8515790505346696,0.07311369936561249,0.43374233128834355,0.04989578567434294,0.113695666
stage_a_ft,2,8,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.855138327247017,0.08675180939556065,0.43803680981595094,0.049825885821768084,0.056649163
stage_a_ft,3,1,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8533156252407316,0.10033397922592815,0.43987730061349695,0.04998474912307458,0.14054433
stage_a_ft,3,2,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8734334012293641,0.11760358316044944,0.4754601226993865,0.0499339128666565,0.07976237
stage_a_ft,3,3,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8751148474460084,0.11691103544025205,0.46503067484662575,0.04999745818717909,0.042523284
stage_a_ft,3,4,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8746020484048488,0.12432415472256778,0.46932515337423314,0.04989578567434294,0.060073104
stage_a_ft,3,5,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8776948069516552,0.1267078778452162,0.47607361963190187,0.04999745818717909,0.056643568
stage_a_ft,3,6,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8798354655712233,0.12817980145733443,0.4723926380368098,0.049864013014081644,0.04170564
stage_a_ft,3,7,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8804610867949549,0.12838229272061533,0.47484662576687114,0.04998474912307458,0.029543411
stage_a_ft,3,8,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.8799387403617733,0.1237474040119387,0.4717791411042945,0.04995297646281328,0.04848457
stage_a_ft,4,1,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8659948776234081,0.10718401514612085,0.4570552147239264,0.04997839459102232,0.054385543
stage_a_ft,4,2,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8729796895900758,0.11933427938052352,0.4687116564417178,0.04951451375120736,0.01975631
stage_a_ft,4,3,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8763470535867162,0.12012224428868438,0.4705521472392638,0.04991484927049972,0.032033637
stage_a_ft,4,4,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8801877658962323,0.12926705209792963,0.4840490797546012,0.0499339128666565,0.042359963
stage_a_ft,4,5,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8791871590579139,0.1252488649980811,0.48282208588957054,0.04983224035382035,0.061822083
stage_a_ft,4,6,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8805256437725741,0.12782227238846872,0.47914110429447854,0.04988307661023842,0.0366958
stage_a_ft,4,7,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.8793019675190628,0.12444344020201288,0.47914110429447854,0.04992755833460424,0.04742335
stage_a_ft,5,1,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.8333860077258635,0.07542502981088611,0.4,0.049825885821768084,0.01416012
stage_a_ft,5,2,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.8611552504184634,0.10555989276170609,0.45766871165644174,0.04999110365512684,0.06280527
stage_a_ft,5,3,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.8702511743798991,0.11340082384556519,0.4638036809815951,0.04994662193076102,0.05314181
stage_a_ft,5,4,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.8752622647926489,0.12221891423264389,0.47607361963190187,0.049889431142290684,0.055226527
stage_a_ft,5,5,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.8761964414308627,0.12455370991575207,0.4699386503067485,0.049775049565350005,0.034439925
