stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,7,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8683734043107274,0.12380701441595872,0.4822085889570552,0.049800467693559045,0.0904699
stage_a_ft,1,8,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8663551328089402,0.10525996925056136,0.46503067484662575,0.049667022520461596,0.060574055
stage_a_ft,2,8,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8195086180709481,0.06891124910558664,0.3693251533742331,0.04966066798840933,0.04069971
stage_a_ft,3,8,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8552246748116953,0.10282283599715841,0.4656441717791411,0.049787758629454525,0.02734276
stage_a_ft,4,8,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8689174126809326,0.12243034479824574,0.48773006134969327,0.04999110365512684,0.032338455
stage_a_ft,5,8,64,4,8,192,0.20909313175279765,8,2.0,0.2,0.0,0.1,2.0,0.0008029015070298228,8192,0.8694701322179297,0.11485377121496612,0.4766871165644172,0.04999745818717909,0.043017946
stage_a_ft,6,6,48,4,4,256,0.3232481518257668,8,2.0,0.2,0.0,0.1,2.0,0.0012898078364194318,8192,0.8581410717031362,0.10915212174120222,0.47484662576687114,0.049412841238371204,0.036201768
stage_a_ft,7,8,48,2,8,128,0.16696440125951162,8,2.0,0.2,0.0,0.1,2.0,0.0005002983438043643,4096,0.8674220236541412,0.11501304861770897,0.4852760736196319,0.04989578567434294,0.045038927
stage_a_ft,8,6,64,6,8,256,0.2010716092915446,8,2.0,0.2,0.0,0.1,2.0,0.00033775361497450577,2048,0.8695946479090237,0.11217150126600123,0.4803680981595092,0.049775049565350005,0.04803387
stage_a_ft,9,8,32,5,8,192,0.03611590802176332,8,2.0,0.2,0.0,0.1,2.0,0.002053164517837489,8192,0.8698665224694694,0.12441047193897732,0.48895705521472393,0.04970514971277515,0.032823563
stage_a_ft,10,4,16,5,8,64,0.005852866268886089,8,2.0,0.2,0.0,0.1,2.0,0.0014429425636699395,1024,0.8678535314668632,0.11412432492414425,0.4766871165644172,0.04995933099486554,0.026658699
stage_a_ft,11,2,32,3,4,128,0.02263642190041475,8,2.0,0.2,0.0,0.1,2.0,0.0026767100318664788,1024,0.8682027617342087,0.11277393631566487,0.48588957055214727,0.04997204005897006,0.049187325
stage_a_ft,12,3,32,3,4,128,0.09961849795779165,8,2.0,0.2,0.0,0.1,2.0,0.0027216240940156544,1024,0.8680816182334369,0.11820609355680209,0.48588957055214727,0.04994026739870876,0.041113168
