stage,trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val,aeq_fpr_parity_age_test,aeq_fpr_parity_income_test,aeq_fpr_parity_employment_status_test,aeq_fpr_parity_age_val,aeq_fpr_parity_income_val,aeq_fpr_parity_employment_status_val,attribute_n_distinct_groups,attribute_is_degenerate,aeq_attribute_n_distinct_groups_age_test,aeq_attribute_n_distinct_groups_income_test,aeq_attribute_n_distinct_groups_employment_status_test,aeq_attribute_n_distinct_groups_age_val,aeq_attribute_n_distinct_groups_income_val,aeq_attribute_n_distinct_groups_employment_status_val,aeq_attribute_is_degenerate_age_test,aeq_attribute_is_degenerate_income_test,aeq_attribute_is_degenerate_employment_status_test,aeq_attribute_is_degenerate_age_val,aeq_attribute_is_degenerate_income_val,aeq_attribute_is_degenerate_employment_status_val
stage_a_ft,0,0.4843641417651145,0.04000601757739414,0.09046989679336548,0.04717214493499298,0.4822085889570552,0.049800467693559045,0.02615801483467141,0.44355811149144336,0.13404414060477718,0.04000601757739414,0.4319635772338598,0.14949112257998592,0.02615801483467141,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,1,0.43641417651146613,0.11758983459969796,0.06057405471801758,0.03952367759681792,0.46503067484662575,0.049667022520461596,0.1469592653257153,0.4351365595305598,0.1709818629620655,0.11758983459969796,0.44645824745841756,0.192214577606969,0.1469592653257153,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,2,0.4329395413481583,0.0,0.040699709206819534,0.05770486612708527,0.3693251533742331,0.04966066798840933,0.074763057027709,0.5083337929550794,0.17477201662446576,0.0,0.47051970346054883,0.14627740871401898,0.074763057027709,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,3,0.44614315496872814,0.044904151954694396,0.02734275907278061,0.04205667583559258,0.4656441717791411,0.049787758629454525,0.046093739208481144,0.47980339817625983,0.17541915193827257,0.044904151954694396,0.46589194673041373,0.19802922131191977,0.046093739208481144,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,4,0.5257123002084779,0.038529766592732564,0.0323384553194046,0.06019828626837908,0.48773006134969327,0.04999110365512684,0.023267945685113714,0.4621361244456299,0.22375640340756553,0.038529766592732564,0.4191822734427494,0.20356451641341766,0.023267945685113714,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,5,0.48575399583043766,0.1294678542479531,0.04301794618368149,0.05038786535531237,0.4766871165644172,0.04999745818717909,0.10066733128140569,0.43920749787644625,0.1779796264038687,0.1294678542479531,0.41624442156830127,0.1823851670746834,0.10066733128140569,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,6,0.49687282835302277,0.04044045481869819,0.03620176762342453,0.05528070765638296,0.47484662576687114,0.049412841238371204,0.03146976417758234,0.477062971164428,0.19934392750431745,0.04044045481869819,0.45166674466126955,0.17926268139388132,0.03146976417758234,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,7,0.5059068797776232,0.07054142375440436,0.04503892734646797,0.05564680505808086,0.4852760736196319,0.04989578567434294,0.07169252800444517,0.48422026365569115,0.1635127829813206,0.07054142375440436,0.4434111061001159,0.16164302446660614,0.07169252800444517,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,8,0.49687282835302277,0.06293881259261538,0.04803387075662613,0.053242435636118975,0.4803680981595092,0.049775049565350005,0.04467138700198881,0.4592729014082577,0.190054347830474,0.06293881259261538,0.41834359597664206,0.18713142391042736,0.04467138700198881,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,9,0.503127171646977,0.0797083041591059,0.03282356262207031,0.053465062434448776,0.48895705521472393,0.04970514971277515,0.07511314989286909,0.45685516177865315,0.2078655725827704,0.0797083041591059,0.42649204492089765,0.20210009383647776,0.07511314989286909,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,10,0.48366921473245295,0.06694050334730016,0.02665869891643524,0.04967051233847189,0.4766871165644172,0.04995933099486554,0.04384282048463559,0.4502650508710866,0.19406239221931082,0.06694050334730016,0.4261863473610884,0.20781658450499418,0.04384282048463559,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,11,0.4801945795691451,0.0694390106410057,0.049187324941158295,0.05014544950824214,0.48588957055214727,0.04997204005897006,0.05728498771120712,0.4170930827026539,0.2647879204192491,0.0694390106410057,0.39749602036829257,0.2564362875410962,0.05728498771120712,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,12,0.44093120222376636,0.036694249911526755,0.04111316800117493,0.03984524963884986,0.48588957055214727,0.04994026739870876,0.07131627676239723,0.46092514687142855,0.12458050428264368,0.036694249911526755,0.4442480463213347,0.13913874349635483,0.07131627676239723,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,13,0.5184155663655314,0.05676694579693721,0.032077956944704056,0.05881305285654918,0.4834355828220859,0.04997204005897006,0.05427436308037614,0.47635762585454877,0.19021384010788622,0.05676694579693721,0.43007709024409674,0.16075114552304567,0.05427436308037614,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,14,0.49548297428769966,0.08880891754303578,0.037540435791015625,0.05248055725961253,0.48588957055214727,0.04985765848202938,0.08202257729018948,0.48693544833663804,0.1601270906624747,0.08880891754303578,0.4631568308208147,0.17073592468262128,0.08202257729018948,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,15,0.2807505211952744,0.07963318617296476,0.02857191674411297,0.019353689668137653,0.45337423312883435,0.049889431142290684,0.10754250329400289,0.3881571983865573,0.20798063779477494,0.07963318617296476,0.44038000943337774,0.20973899671902432,0.10754250329400289,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,16,0.4923558026407226,0.034392735754794776,0.022402578964829445,0.05357884946470623,0.4687116564417178,0.04997204005897006,0.03977542124059066,0.4818618906853405,0.1208832618577252,0.034392735754794776,0.4303919620505927,0.12946976277875855,0.03977542124059066,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
stage_a_ft,17,0.4259902710215426,0.04964713250447439,0.031554896384477615,0.037485405576553936,0.4815950920245399,0.04968608611661837,0.06987512798255663,0.412453882670239,0.20229883395153198,0.04964713250447439,0.40068189099931345,0.2063030225603148,0.06987512798255663,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
