stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,8,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9251971173575454,0.4644214131843924,0.6801909307875895,0.0497899859990666,0.025520563
stage_a_ft,1,8,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9409985049122607,0.49669693341047644,0.720763723150358,0.049569971331422095,0.030886328
stage_a_ft,2,8,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.9385699679103507,0.4985298435777661,0.711217183770883,0.049716647776518436,0.017402397
stage_a_ft,3,8,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.9402099400103205,0.4963417899156831,0.7159904534606205,0.049543302886859125,0.008177763
stage_a_ft,4,3,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.9372398295128983,0.4944648707720696,0.7165871121718377,0.04981665444362957,0.022845395
stage_a_ft,5,8,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.9377123749379632,0.4901739607631912,0.7088305489260143,0.04982332155477032,0.015594353
stage_a_ft,6,3,32,3,4,64,0.3759689660746642,8,2.0,0.2,0.0,0.1,2.0,0.000961571767993819,1024,0.9350565534917921,0.4838469378943682,0.7130071599045346,0.04969664644309621,0.03539996
stage_a_ft,7,8,32,4,4,128,0.15091543705314947,8,2.0,0.2,0.0,0.1,2.0,0.00045238999939350587,4096,0.9332952487206387,0.47580842096876097,0.6939140811455847,0.049983332222148145,0.025405504
stage_a_ft,8,2,48,3,4,192,0.1055047847647308,8,2.0,0.2,0.0,0.1,2.0,0.0019779202873020305,8192,0.9266409486965002,0.4626871891877958,0.6837708830548926,0.049956663777585175,0.015873412
stage_a_ft,9,2,32,4,4,256,0.3979807989522047,8,2.0,0.2,0.0,0.1,2.0,0.0010893815595882357,1024,0.9323958013270893,0.47692149964182345,0.6909307875894988,0.04964330955397026,0.02007454
stage_a_ft,10,5,64,2,8,256,0.02488048001417459,8,2.0,0.2,0.0,0.1,2.0,0.0006108274954825402,2048,0.9399213169501675,0.4975575449314765,0.7201670644391408,0.049929995333022205,0.029422222
stage_a_ft,11,4,64,2,8,256,0.005842818690424842,8,2.0,0.2,0.0,0.1,2.0,0.0005804031365253968,2048,0.9413999915030135,0.5050485891050964,0.7177804295942721,0.04966997799853323,0.035858195
stage_a_ft,12,8,64,2,8,256,0.02283955478983503,8,2.0,0.2,0.0,0.1,2.0,0.0006576796951951695,2048,0.9370737364989011,0.4964473406338889,0.7165871121718377,0.04999666644442963,0.022621533
stage_a_ft,13,2,64,3,8,256,0.26473418684327776,8,2.0,0.2,0.0,0.1,2.0,0.0006500775786108757,2048,0.9340120964309315,0.4862590816362131,0.6963007159904535,0.0499766651110074,0.007921058
stage_a_ft,14,2,16,2,8,64,0.0834062987386455,8,2.0,0.2,0.0,0.1,2.0,0.0013911504356262686,4096,0.9162922476454675,0.4456012249619282,0.6640811455847255,0.04998999933328888,0.01684981
stage_a_ft,15,2,64,3,8,256,0.23159599537365688,8,2.0,0.2,0.0,0.1,2.0,0.000546835606727275,2048,0.9308360613062351,0.47779566355024455,0.6933174224343676,0.049609973998266554,0.01735008
stage_a_ft,16,4,48,2,8,256,0.06307823855811245,8,2.0,0.2,0.0,0.1,2.0,0.0007933429819490153,2048,0.9411808062462717,0.4955177236312617,0.7213603818615751,0.0499766651110074,0.022550113
stage_a_ft,17,1,48,5,8,256,0.08969226584149391,8,2.0,0.2,0.0,0.1,2.0,0.0008332762824957271,2048,0.924423879650847,0.4713383658273657,0.6897374701670644,0.049129941996133075,0.008350004
stage_a_ft,18,2,48,3,8,64,0.34264122447819206,8,2.0,0.2,0.0,0.1,2.0,0.0012266382237160012,4096,0.9255880980768646,0.465857748536721,0.6718377088305489,0.049769984665644376,0.0077767856
stage_a_ft,19,2,48,2,8,256,0.13909460844603821,8,2.0,0.2,0.0,0.1,2.0,0.00031654549730278787,8192,0.8734087562878098,0.16567652060100652,0.5536992840095465,0.049836655777051805,0.020817336
stage_a_ft,20,2,48,4,8,256,0.24712254268414174,8,2.0,0.2,0.0,0.1,2.0,0.0007867835542941952,2048,0.9248436510723628,0.4616562730071443,0.6766109785202864,0.04981665444362957,0.0066390373
stage_a_ft,21,8,64,2,8,256,0.050290622354021194,8,2.0,0.2,0.0,0.1,2.0,0.0005038245972844933,2048,0.9420326908030942,0.5053968518489487,0.7321002386634845,0.049623308220548036,0.036917713
stage_a_ft,22,2,48,2,8,256,0.05800276579377138,8,2.0,0.2,0.0,0.1,2.0,0.0004737695743540615,2048,0.9329598604107419,0.47831276196168765,0.698090692124105,0.049489965997733185,0.018044535
stage_a_ft,23,2,16,3,8,256,0.05512628533389369,8,2.0,0.2,0.0,0.1,2.0,0.000745221511109352,2048,0.9162768786813313,0.44830843084761063,0.6533412887828163,0.04972998199879992,0.01894614
stage_a_ft,24,1,64,2,8,256,0.12176466201809767,8,2.0,0.2,0.0,0.1,2.0,0.0004891918557532085,2048,0.9295646957211625,0.46763321743568276,0.6968973747016707,0.0495233015534369,0.015435991
stage_a_ft,25,8,48,3,8,256,0.18365116175417381,8,2.0,0.2,0.0,0.1,2.0,0.001025948136442684,2048,0.9420186604325729,0.4990066642960465,0.7213603818615751,0.049516634442296155,0.03696904
stage_a_ft,26,2,48,3,8,192,0.1899641691556121,8,2.0,0.2,0.0,0.1,2.0,0.001521928305337532,2048,0.9314976686592152,0.48091439746380205,0.6909307875894988,0.049889992666177746,0.017408269
stage_a_ft,27,2,64,3,8,64,0.04801377493450646,8,2.0,0.2,0.0,0.1,2.0,0.000987586889740412,8192,0.9317109824028047,0.47199907723018564,0.6843675417661098,0.049623308220548036,0.016169416
stage_a_ft,28,2,16,2,8,128,0.07780125278563928,8,2.0,0.2,0.0,0.1,2.0,0.0011524994980352794,4096,0.9240503921422925,0.45215698069212656,0.6634844868735084,0.04990999399959997,0.037592422
stage_a_ft,29,2,16,3,4,128,0.12576748769704346,8,2.0,0.2,0.0,0.1,2.0,0.0018798704391227525,8192,0.8594513818821016,0.3643096123403471,0.5584725536992841,0.049836655777051805,0.019124681
stage_a_ft,30,3,48,2,8,256,0.16495698154400387,8,2.0,0.2,0.0,0.1,2.0,0.001573389506028215,2048,0.9397838634747487,0.4988688062026581,0.711217183770883,0.049649976665111006,0.039069932
